Product,Price,Image,Link,CPU,RAM,Storage,Graphics,Screen,Status,Color,Weight,Battery,Brand
Lenovo Legion 5 Pro,21990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/10/1/lenovo-legion-5-pro-thinkpro-1.png,https://thinkpro.vn/laptop/lenovo-legion-5-pro-4062,"Intel Core i7 11800H, 8C/16T",16GB DDR4 3200MHz,512GB (M.2 NVMe),Intel UHD Graphics,"16 inch, 2560 x 1600px, 165Hz","Used, Nhập khẩu",Storm Grey,2.5kg,Battery,LENOVO
Lenovo ThinkPad T14 Gen 2 (AMD),23990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/9/30/lenovo-thinkpad-t14-gen-2-2021-thinkpro-01.jpg,https://thinkpro.vn/laptop/lenovo-thinkpad-t14-gen-2-amd-6829,"AMD AMD 5000, 8C/16T",16GB DDR4 3200MHz,512GB (M.2 NVMe),AMD Radeon Graphics,"14 inch, 1920 x 1080px, 60Hz","Outlet, Nhập khẩu",Black,1.47kg,Battery,LENOVO
Lenovo ThinkPad P1 Gen 4 (Intel),33990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2023/3/22/lenovo-thinkpad-p1-gen-4-thinkpro-1.png,https://thinkpro.vn/laptop/lenovo-thinkpad-p1-gen-4-intel-6677,"Intel Core i7 11800H, 8C/16T",16GB DDR4 3200MHz,512GB (NVMe PCIe),Intel UHD Graphics,"16 inch, 2560 x 1600px,","Used, Nhập khẩu",Đen,1.81kg,Battery,LENOVO
Lenovo ThinkPad T14s Gen 3,23790000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/11/5/Ảnh chụp Màn hình 2022-11-05 lúc 10.30.31.png,https://thinkpro.vn/laptop/lenovo-thinkpad-t14s-gen-3-6152,"AMD AMD 6000, 6C/12T",16GB LPDDR5 6400MHz,256GB (M.2 NVMe),AMD Radeon 660M Graphics,"14 inch, 1920 x 1200px, 60Hz","Mới, Full box, Nhập khẩu",Black,1.2kg,Battery,LENOVO
HP Zbook Firefly 15 G8,22390000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/9/30/hp-zbook-firefly-15-g8-thinkpro-01.jpg,https://thinkpro.vn/laptop/hp-zbook-firefly-15-g8-4362,"Intel Core i7 1185G7, 4C/8T",32GB DDR4 3200MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"15.6 inch, 1920 x 1080px, 60Hz","Mới, Full box, Nhập khẩu",Mineral Gray,1.69kg,Battery,HP
Dell Inspiron 16 5620,14990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/5/27/Dell Inspiron 16 5620 1.png,https://thinkpro.vn/laptop/dell-inspiron-16-5620-6625,"Intel Core i5 1235U, 10C/12T",8GB DDR4 3200MHz,512GB (,Intel Iris Xe Graphics,"16 inch, 1920 x 1200px, 60Hz","Used, Nhập khẩu",Platium Grey,1.87kg,Battery,DELL
Dell Inspiron 14 5420,21990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/5/27/Dell Inspiron 14 5420 12.png,https://thinkpro.vn/laptop/dell-inspiron-14-5420-6853,Intel  12C/16T,16GB DDR5 4800MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"14 inch, 2240 x 1400px, 60Hz","Outlet, Nhập khẩu",Platium Grey,1.54kg,Battery,DELL
HP Victus 15 (2022),16790000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2023/5/26/hp-victus-15-2022-thinkpro-eIG.jpg,https://thinkpro.vn/laptop/hp-victus-15-2022-4396,"Intel Core i5 12450H, 8C/12T",8GB DDR4 3200MHz,512GB (M.2 NVMe),Intel UHD Graphics,"15.6 inch, 1920 x 1080px, 144Hz","Mới, Sealed, Nhập khẩu",Blacks,2.29kg,Battery,HP
Dell Inspiron 14 7425 2 in 1,15890000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/6/28/notebook-inspiron-14-7425-2-in-1-gallery-3.png,https://thinkpro.vn/laptop/dell-inspiron-14-7425-2-in-1-4317,"AMD AMD 5000, 6C/12T",8GB DDR4 3200MHz,512GB (M.2 NVMe),AMD Radeon Graphics,"14 inch, 1920 x 1200px, 60Hz","Mới, Sealed, Nhập khẩu",Pebble Green,1.63kg,Battery,DELL
LG Gram 16 2 in 1 2021,21990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2023/3/22/lg-gram-16-2-in-1-2021-thinkpro-01.png,https://thinkpro.vn/laptop/lg-gram-16-2-in-1-2021-5195,"Intel Core i7 1165G7, 4C/8T",16GB LPDDR4X 4266MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"16 inch, 2560 x 1600px, 60Hz","Used, Nhập khẩu",Black,1.48kg,Battery,LG
Acer Nitro 5 Tiger (Intel Gen 12th),19990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/8/27/Nitro5-an515-58-redkb-black-modelmain.png,https://thinkpro.vn/laptop/acer-nitro-5-tiger-intel-gen-12th-4815,"Intel Core i5 12500H, 12C/16T",16GB DDR4 3200MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"15.6 inch, 1920 x 1080px, 144Hz","Outlet, Nhập khẩu",Đen,2.5kg,Battery,ACER
Apple Macbook Pro 13 (Chính hãng - Apple M1 - Late 2020) (MYD82SA/A),33990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/backend/uploads/product/avatar/2020/11/19/macbookpro132020_00.jpg,https://thinkpro.vn/laptop/apple-macbook-pro-13-chinh-hang-apple-m1-late-2020-1431,"Apple M1, 8C/8T",8GB LPDDR4X,256GB (,Intel Iris Xe Graphics,"13.3 inch, 2560 x 1600px, 60Hz","Mới, Sealed, Chính hãng",Space Gray,1.37kg,Battery,APPLE
Asus ROG Strix Scar 15 (2022) G533 (G533ZW-LN134W),74990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/7/30/ASUS-ROG-Strix-SCAR-15-2022-ThinkPro-01.jpg,https://thinkpro.vn/laptop/asus-rog-strix-scar-15-2022-g533-4455,"Intel Core i9 12900H, 14C/20T",32GB DDR5 4800MHz,1024GB (,Intel Iris Xe Graphics,"15.6 inch, 2560 x 1440px, 240Hz","Mới, Full box, Chính hãng",Black,2.3kg,Battery,ASUS
Dell Alienware M15 R6 (Chính hãng) (P109F001BBL),61990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/9/27/dell-alienware-m15-r6-thinkpro-1.png,https://thinkpro.vn/laptop/dell-alienware-m15-r6-chinh-hang-3159,"Intel Core i7 11800H, 8C/16T",32GB DDR4 3200MHz,1024GB (NVMe),Intel Core UHD Graphics,"45092 inch, 1920 x 1080px, 165Hz","Mới, Full box, Chính hãng",Đen,2.69kg,Battery,DELL
Apple Macbook Pro 14 (Apple M1) (MKGP3SA/A),52490000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/backend/uploads/product/avatar/2021/10/19/macbook-pro-14-inch-large-2xjpg,https://thinkpro.vn/laptop/apple-macbook-pro-14-m1-pro-3084,"Apple M1 Pro, 8C/",16GB,512GB (,Intel Iris Xe Graphics,"14.2 inch, 3024 x 1964px, 120Hz","Mới, Sealed, Chính hãng",Space Gray,1.6kg,Battery,APPLE
ASUS Zenbook Pro 16X OLED UX7602 (UX7602ZM-ME107W),79990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/8/9/ASUS Zenbook Pro 16X OLED 1.png,https://thinkpro.vn/laptop/asus-zenbook-pro-16x-oled-4121,"Intel Core i9 12900H, 14C/20T",32GB LPDDR5,1024GB (M.2 NVMe PCIe 4.0),Intel Iris Xe Graphics,"16 inch, 3840 x 2400px,","Mới, Full box, Chính hãng",Tech Black,2.4kg,Battery,ASUS
Dell Inspiron 14 5425,13490000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/10/1/dell-inspiron-14-5425-thinkpro-1.png,https://thinkpro.vn/laptop/dell-inspiron-14-5425-4973,"AMD Ryzen 5 5625U, 6C/12T",16GB DDR4 3200MHz,512GB (M.2 NVMe),AMD Radeon Graphics,"14 inch, 1920 x 1200px, 60Hz","Used, Nhập khẩu",Platium Silver,1.54kg,Battery,DELL
Dell XPS 13 Plus 9320 (Chính hãng) (5CG56),59990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2023/3/22/dell-xps-13-plus-9320-thinkpro-001.png,https://thinkpro.vn/laptop/dell-xps-13-plus-9320-chinh-hang-5254,"Intel Core i7 1260P, 12C/16T",16GB LPDDR5 5200MHz,"512GB (M.2, Gen 4 PCIe)",Intel Iris Xe Graphics,"13.3 inch, 3456 x 2160px, 60Hz","Mới, Full box, Chính hãng",Silver,1.23kg,Battery,DELL
Acer Aspire 5 14 (Chính hãng) (A514-54-5127),12990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/9/30/Acer Aspire-5-14-thinkpro-01.jpeg,https://thinkpro.vn/laptop/acer-aspire-5-14-chinh-hang-3388,"Intel Core i5 1135G7, 4C/8T",8GB DDR4 2666MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"14 inch, 1920 x 1080px, 60Hz","Mới, Full box, Chính hãng",Silver,1.46kg,Battery,ACER
Acer Nitro 5 15 Intel Gen 11 - Chính hãng (AN515-56-79U2),19900000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/9/28/acer-nitro-5-15-intel-gen-11-thinkpro-1.png,https://thinkpro.vn/laptop/acer-nitro-5-15-intel-gen-11-chinh-hang-2061,"Intel Core i7 11370H, 4C/8T",8GB DDR4 3200MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"15.6 inch, 1920 x 1080px, 144Hz","Mới, Full box, Chính hãng",Obsidian Black,2.3kg,Battery,ACER
ASUS TUF Dash F15 (Chính hãng) (FX516PM-HN002W),21190000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/9/27/asus-tuf-dash-f15-thinkpro-1.png,https://thinkpro.vn/laptop/asus-tuf-dash-f15-chinh-hang-6074,"Intel Core i7 11370H, 4C/8T",8GB DDR4 3200MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"15.6 inch, 1920 x 1080px, 144Hz","Outlet, Chính hãng",Eclipse Gray,2kg,Battery,ASUS
HP Pavilion 15 (Intel Gen 11) (2D9D5PA),17990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2023/4/10/hp-pavilion-15-thinkpro-01.png,https://thinkpro.vn/laptop/hp-pavilion-15-intel-gen-11-3543,"Intel Core i7 1165G7, 4C/8T",8GB DDR4 3200MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"15.6 inch, 1920 x 1080px, 60Hz","Outlet, Chính hãng",Warm Gold,1.75kg,Battery,HP
Lenovo IdeaPad 3 14 (Intel Gen 11),11990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2023/4/10/lenovo-ideapad-3-14-thinkpro-02.png,https://thinkpro.vn/laptop/lenovo-ideapad-3-14-intel-gen-11-6019,"Intel Core i5 1135G7, 4C/8T",8GB DDR4 3200MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"14 inch, 1920 x 1080px, 60Hz","Mới, Sealed, Nhập khẩu",Xám,1.41kg,Battery,LENOVO
ASUS ROG Strix G15 (G513) (G513QM-HQ283T),32990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/9/27/asus-rog-strix-g15-g513-thinkpro-1.png,https://thinkpro.vn/laptop/asus-rog-strix-g15-g513-6269,"AMD AMD 5000, 8C/16T",16GB DDR4 3200MHz,512GB (M.2 NVMe),AMD Radeon Graphics,"15.6 inch, 1920 x 1080px, 144Hz","Outlet, Chính hãng",Dark Gray,2.3kg,Battery,ASUS
GIGABYTE G5 Gaming Laptop (MD-51S1123SH),18990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/9/26/gigabyte-g4-thinkpro-01.png,https://thinkpro.vn/laptop/gigabyte-g5-gaming-laptop-5417,"Intel Core i5 11400H, 6C/12T",16GB DDR4 3200MHz,512GB (M.2 NVMe),Intel UHD Graphics,"15.6 inch, 1920 x 1080px, 144Hz","Outlet, Chính hãng",Đen,2.2kg,Battery,GIGABYTE
GIGABYTE AORUS 15P Gaming Laptop (YD-73S1224GH),47990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/9/26/gigabyte-aorus-15p-gaming-laptop-thinkpro-1.png,https://thinkpro.vn/laptop/gigabyte-aorus-15p-gaming-laptop-6076,"Intel Core i7 11800H, 8C/16T",16GB DDR4 3200MHz,1024GB (M.2 NVMe),Intel UHD Graphics,"15.6 inch, 1920 x 1080px, 240Hz","Outlet, Chính hãng",Black,2.2kg,Battery,GIGABYTE
Acer Nitro 5 Tiger Intel Gen 12 (Chính hãng) (AN515-58-52SP),23490000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2023/3/22/acer-nitro-5-tiger-thinkpro-001.png,https://thinkpro.vn/laptop/acer-nitro-5-tiger-intel-gen-12-chinh-hang-3572,"Intel Core i5 12500H, 12C/16T",8GB DDR4 3200MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"15.6 inch, 1920 x 1080px, 144Hz","Mới, Full box, Chính hãng",Obsidian Black,2.5kg,Battery,ACER
Acer Nitro 5 2021 (Intel H45) (AN515-57-720A),23990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/9/26/acer-nitro-5-2021-thinkpro-005-1.png,https://thinkpro.vn/laptop/acer-nitro-5-2021-intel-h45-3120,"Intel Core i7 11800H, 8C/16T",8GB DDR4 3200MHz,512GB (M.2 NVMe),Intel UHD Graphics,"15.6 inch, 1920 x 1080px, 144Hz","Mới, Full box, Chính hãng",Shale Black,2.2kg,Battery,ACER
Acer Aspire 3 15 Intel gen 11 (Chính hãng) (A315-58-35AG),8990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/9/30/Aspire-3-A315-58-Silver-thinkpro-01.jpg,https://thinkpro.vn/laptop/acer-aspire-3-15-intel-gen-11-chinh-hang-3719,"Intel Core i3 1115G4, 2C/4T",4GB DDR4 3200MHz,256GB (M.2 NVMe),Intel UHD Graphics,"15.6 inch, 1920 x 1080px, 60Hz","Mới, Full box, Chính hãng",Silver,1.7kg,Battery,ACER
ASUS TUF Gaming FX706H (FX706HCB-HX105W),21190000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/9/30/Asus-TUF-FX706H-thinkpro-01.jpg,https://thinkpro.vn/laptop/asus-tuf-gaming-fx706h-3706,"Intel Core i5 11400H, 6C/12T",8GB DDR4 3200MHz,512GB (M.2 NVMe),Intel UHD Graphics,"17.3 inch, 1920 x 1080px, 144Hz","Mới, Full box, Chính hãng",Graphite Black,2.3kg,Battery,ASUS
LG Gram 16 2022 (16Z90Q-G.AH52A5),23990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2023/4/17/lg-gram-16-2022-16z90q-gah52a5-thinkpro-01-thinkpro-3mE.png,https://thinkpro.vn/laptop/lg-gram-16-2022-6568,"Intel Core i5 1240P, 12C/16T",16GB LPDDR5 5200MHz,256GB (M.2 NVMe),Intel Iris Xe Graphics,"16 inch, 2560 x 1600px, 60Hz","Outlet, Chính hãng",Black,1.2kg,Battery,LG
ASUS Zenbook Flip 14 OLED (UP5401ZA-KN005W),22990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/4/27/ZenBook Flip 14 OLED_UP5401_Product photo_3G_Pine Grey_28.jpg,https://thinkpro.vn/laptop/asus-zenbook-flip-14-oled-5971,"Intel Core i5 12500H, 12C/16T",8GB LPDDR5 4800MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"14 inch, 2880 x 1800px, 90Hz","Used, Chính hãng",Pine Grey,1.4kg,Battery,ASUS
LG Gram 14 2022,22790000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/8/3/LG-Gram-14-2022-ThinkPro-10.jpg,https://thinkpro.vn/laptop/lg-gram-14-2022-6280,"Intel Core i7 1260P, 12C/16T",16GB LPDDR5 5200MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"14 inch, 1920 x 1200px, 90Hz","Mới, Full box, Nhập khẩu",Black,0.9kg,Battery,LG
Huawei MateBook D15,12990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/9/27/Matebook-D15-2021-thinkpro-01.jpg,https://thinkpro.vn/laptop/huawei-matebook-d15-6045,"Intel Core i5 1135G7, 4C/8T",8GB DDR4 3200MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"15.6 inch, 1920 x 1080px, 60Hz","Outlet, Chính hãng",Bạc,1.56kg,Battery,HUAWEI
ASUS Zenbook 14 Q409 ZA,12790000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/9/30/asus-zenbook-14-q409za-thinkpro-01.jpg,https://thinkpro.vn/laptop/asus-zenbook-14-q409za-6281,"Intel Core i5 1240P, 12C/16T",8GB LPDDR5 5200MHz,256GB (M.2 NVMe),Intel Iris Xe Graphics,"14 inch, 2880 x 1800px, 90Hz","Used, Nhập khẩu",Ponder Blue,1.39kg,Battery,ASUS
HP Victus Gaming 16 Intel (Chính hãng) (4R0U1PA),23990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2023/4/10/hp-victus-gaming-16-intel-thinkpro-01.png,https://thinkpro.vn/laptop/hp-victus-gaming-16-intel-chinh-hang-3606,"Intel Core i7 11800H, 8C/16T",8GB DDR4 3200MHz,512GB (M.2 NVMe),Intel UHD Graphics,"16.1 inch, 1920 x 1080px, 144Hz","Mới, Full box, Chính hãng",Mica Silver,2.46kg,Battery,HP
Dell XPS 13 9310,17990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2023/3/22/dell-xps-9310-thinkpro-01.png,https://thinkpro.vn/laptop/dell-xps-13-9310-3949,"Intel Core i5 1135G7, 4C/8T",8GB LPDDR4X 4266MHz,256GB (,Intel Iris Xe Graphics,"13 inch, 1920 x 1200px, 60Hz","Used, Nhập khẩu",Platium Silver,44958kg,Battery,DELL
Dell Precision 5550,25990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/10/4/dell-precision-5550-thinkpro-11.jpg,https://thinkpro.vn/laptop/dell-precision-5550-6524,"Intel Core i7 10850H, 6C/12T",16GB DDR4 2933MHz,1024GB (M.2 NVMe),Intel UHD Graphics,"15.6 inch, 1920 x 1200px, 60Hz","Used, Nhập khẩu",Shadow Grey,1.83kg,Battery,DELL
Dell XPS 13 9380,13990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/12/16/dell-xps-13-9380-thinkpro-01.png,https://thinkpro.vn/laptop/dell-xps-13-9380-627,"Intel Core i5 8265U, 4C/8T",8GB LPDDR3 2133MHz,256GB (M.2 NVMe),Intel UHD Graphics,"13.3 inch, 1920 x 1080px, 60Hz","Used, Nhập khẩu",Plantium Silver,1.21kg,Battery,DELL
Lenovo ThinkBook 16 G4+,19390000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/1/15/Thinkbook_14_Artic_Grey_IRcamera.png,https://thinkpro.vn/laptop/lenovo-thinkbook-16-g4-3589,"AMD AMD 6000, 6C/12T",16GB LPDDR5 4800MHz,512GB (M.2 NVMe),AMD Radeon 660M Graphics,"16 inch, 2560 x 1600px, 60Hz","Mới, Sealed, Nhập khẩu",Mineral Gray,1.8kg,Battery,LENOVO
Lenovo ThinkPad X1 Carbon Gen 9,24990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/9/30/lenovo-thinkpadpad-x1-carbon-gen-9-thinkpro-01.jpg,https://thinkpro.vn/laptop/lenovo-thinkpad-x1-carbon-gen-9-5263,"Intel Core i7 1165G7, 4C/8T",16GB LPDDR4X 4266MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"14 inch, 1920 x 1200px, 60Hz","Used, Nhập khẩu",Black,1.13kg,Battery,LENOVO
Dell Inspiron 13 5330,20790000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2023/3/22/dell-inspiron-5330-thinkpro-1.png,https://thinkpro.vn/laptop/dell-inspiron-13-5330-6308,"Intel Core i5 1340P, 12C/16T",16GB LPDDR5 5200MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"13.3 inch, 2560 x 1600px, 60Hz","Mới, Sealed, Nhập khẩu",Platium Silver,1.3kg,Battery,DELL
Lenovo ThinkBook 14 G4+ (Intel),18990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/10/1/lenovo-thinkbook-14-g4-thinkpro-1.png,https://thinkpro.vn/laptop/lenovo-thinkbook-14-g4-intel-6831,"Intel Core i5 12500H, 12C/16T",16GB LPDDR5 4800MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"14 inch, 2880 x 1800px, 90Hz","Used, Nhập khẩu",Mineral Grey,1.43kg,Battery,LENOVO
Lenovo ThinkPad X1 Carbon Gen 6 (20KHS1TG00LCR),9790000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/10/2/lenovo-thinkpad-x1-carbon-gen-6-thinkpro-01.jpg,https://thinkpro.vn/laptop/lenovo-thinkpad-x1-carbon-gen-6-884,"Intel Core i5 8250U, 4C/8T",8GB LPDDR3 2133MHz,256GB (M.2 NVMe),Intel UHD 620,"14 inch, 1920 x 1080px, 60Hz","Used, Nhập khẩu",Black,1.13kg,Battery,LENOVO
Lenovo ThinkPad X1 Carbon Gen 7,13990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/10/2/lenovo-thinkpad-x1-carbon-gen-7.png,https://thinkpro.vn/laptop/lenovo-thinkpad-x1-carbon-gen-7-3586,"Intel Core i7 8565U, 4C/8T",16GB LPDDR3 2133MHz,256GB (M.2 NVMe),Intel UHD Graphics,"14 inch, 1920 x 1080px, 60Hz","Used, Nhập khẩu",Black,1.09kg,Battery,LENOVO
Lenovo ThinkPad X1 Nano (20UN0007US),20990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/9/30/lenovo-thinkpad-x1-nano-thinkpro-01.jpg,https://thinkpro.vn/laptop/lenovo-thinkpad-x1-nano-4378,"Intel Core i5 1130G7, 4C/8T",16GB LPDDR4X 4266MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"13 inch, 2160 x 1350px, 60Hz","Used, Nhập khẩu",Black,0.907kg,Battery,LENOVO
Dell Inspiron 16 Plus Laptop (7610),17990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/10/1/new-inspiron-16-plus-laptop-7610-thinkpro-1.png,https://thinkpro.vn/laptop/new-inspiron-16-plus-7610-4355,"Intel Core i7 11800H, 8C/16T",16GB DDR4 3200MHz,1024GB (M.2 NVMe),Intel UHD Graphics,"16 inch, 3072 x 1920px, 60Hz","Used, Nhập khẩu",Mist Blue,2.15kg,Battery,DELL
Dell XPS 15 9520,35990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/9/30/dell-xps-9520-thinkpro-01.jpg,https://thinkpro.vn/laptop/dell-xps-9520-6402,"Intel Core i7 12700H, 14C/20T",16GB DDR5 4800MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"15.6 inch, 1920 x 1200px, 60Hz","Used, Nhập khẩu",Platinum Silver,1.92kg,Battery,DELL
Dell Inspiron 16 5630,19790000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2023/3/9/in5630nt-cnb-00000ff090-sl.jpg,https://thinkpro.vn/laptop/dell-inspiron-16-5630-6485,"Intel Core i5 1340P, 12C/16T",16GB LPDDR5 5200MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"16 inch, 2560 x 1600px, 60Hz","Mới, Full box, Nhập khẩu",Plantium Silver,1.85kg,Battery,DELL
Surface Laptop 3 13.5,12990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/10/1/suface-laptop-3-thinkpro-1.png,https://thinkpro.vn/laptop/surface-3-135-5413,"Intel Core i5 1035G7, 4C/8T",8GB LPDDR4X 3733MHz,128GB (,Intel Iris Xe Graphics,"45092 inch, 2256 x 1504px, 60Hz","Used, Nhập khẩu",Platinum,1.29kg,Battery,MICROSOFT
