Product,Price,Image,Link,CPU,RAM,Storage,Graphics,Screen,Status,OS,Size,Connector,Brand
Asus Vivobook X415EA i3 1115G4 (EK2034W),11.490.0,https://cdn.tgdd.vn/Products/Images/44/304866/TimerThumb/304866.jpg,https://www.thegioididong.com/laptop/asus-vivobook-x415ea-i3-ek2034w,"i3, 1115G4, 3GHz","8 GB, DDR4 2 khe (1 khe 8 GB onboard + 1 khe trống), 3200 MHz","256 GB SSD NVMe PCIe, Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng","Card tích hợp, Intel UHD","14"", Full HD (1920 x 1080) ",New,Windows 11 Home SL,Dài 325.4 mm - Rộng 216 mm - Dày 19.9 mm - Nặng 1.55 kg,"USB Type-C, 2 x USB 2.0, HDMI, Jack tai nghe 3.5 mm, 1 x USB 3.2",ASUS
Acer Aspire 3 A315 58 54XF i5 1135G7 (NX.AM0SV.007),12.490.000,https://cdn.tgdd.vn/Products/Images/44/285764/TimerThumb/acer-aspire-3-a315-58-54xf-i5-nxam0sv007-(6).jpg,https://www.thegioididong.com/laptop/acer-aspire-3-a315-58-54xf-i5-nxam0sv007,"i5, 1135G7, 2.4GHz","8 GB, DDR4 (Onboard 4 GB + 1 khe 4 GB), Từ 2400 MHz (Hãng công bố)","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB), Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2 TB)","Card tích hợp, Intel Iris Xe","15.6"", Full HD (1920 x 1080) ",New,Windows 11 Home SL,Dài 363.4 mm - Rộng 238.4 mm - Dày 19.9 mm - Nặng 1.7 kg,"HDMI, LAN (RJ45), Jack tai nghe 3.5 mm, 1 x USB 2.0, 2 x USB 3.2",ACER
Lenovo ThinkBook 14 G3 ACL R5 5500U (21A200R0VN),12.990.00,https://cdn.tgdd.vn/Products/Images/44/304427/TimerThumb/lenovo-thinkbook-14-g3-acl-r5-21a200r0vn-(2).jpg,https://www.thegioididong.com/laptop/lenovo-thinkbook-14-g3-acl-r5-21a200r0vn,"Ryzen 5, 5500U, 2.1GHz","8 GB, DDR4 2 khe (1 khe 8 GB onboard + 1 khe trống), 3200 MHz","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB (2280) / 512 GB (2242)), Hỗ trợ khe cắm SSD M.2 SATA3 (nâng cấp tối đa 1 TB)","Card tích hợp, Radeon","14"", Full HD (1920 x 1080) ",New,Windows 11 Home SL,Dài 323 mm - Rộng 218 mm - Dày 17.9 mm - Nặng 1.4 kg,"HDMI, LAN (RJ45), Jack tai nghe 3.5 mm, 1 x USB 3.2 (Always on), 1 x USB 3.2, 2 x USB Type-C (hỗ trợ truyền dữ liệu, Power Delivery 3.0 và DisplayPort 1.4)",LENOVO
HP Pavilion 15 eg2082TU i5 1240P (7C0Q5PA),17.790.000,https://cdn.tgdd.vn/Products/Images/44/302533/TimerThumb/302533.jpg,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2082tu-i5-7c0q5pa,"i5, 1240P, 1.7GHz","8 GB, DDR4 2 khe (1 khe 4 GB + 1 khe 4 GB), 3200 MHz",512 GB SSD NVMe PCIe,"Card tích hợp, Intel Iris Xe","15.6"", Full HD (1920 x 1080) ",New,Windows 11 Home SL,Dài 360.2 mm - Rộng 234 mm - Dày 17.9 mm - Nặng 1.72 kg,"USB Type-C, HDMI, Jack tai nghe 3.5 mm, 2 x USB 3.2",HP
Acer Aspire 3 A314 35 C3KS N5100 (NX.A7SSV.009),5.990.000,https://cdn.tgdd.vn/Products/Images/44/308490/acer-aspire-3-a314-35-c3ks-n5100-nxa7ssv009-thumb-600x600.jpg,https://www.thegioididong.com/laptop/acer-aspire-3-a314-35-c3ks-n5100-nxa7ssv009,"Celeron, N5100, 1.1GHz","4 GB, DDR4 2 khe (1 khe 4 GB + 1 khe rời), Từ 2400 MHz (Hãng công bố)","256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB), Hỗ trợ khe cắm HDD SATA","Card tích hợp, Intel UHD","14"", HD (1366 x 768)",New,Windows 11 Home SL,Dài 328 mm - Rộng 236 mm - Dày 19.9 mm - Nặng 1.45 kg,"HDMI, LAN (RJ45), Jack tai nghe 3.5 mm, 1 x USB 2.0, 2 x USB 3.2",ACER
Masstel E116 N4020,3.990.00,https://cdn.tgdd.vn/Products/Images/44/302950/masstel-e116-n4020-thumb-1-600x600.jpg,https://www.thegioididong.com/laptop/masstel-e116-n4020,"Celeron, N4020, 1.1GHz","4 GB, DDR4 (Onboard), 2133 MHz","Hỗ trợ khe cắm SSD M.2 SATA mở rộng (nâng cấp tối đa 256 GB), 128 GB eMMC","Card tích hợp, Intel UHD 600","11.6"", HD (1366 x 768)",New,Windows 10 Pro,Dài 227 mm - Rộng 188.6 mm - Dày 18.6 mm - Nặng 0.92 kg,"Mini HDMI, 2 x USB 3.0, Jack tai nghe 3.5 mm",MASSTEL
itel SPIRIT 1 i3 8109U (71006300035),4.990.000,https://cdn.tgdd.vn/Products/Images/44/265530/TimerThumb/265530-2.png,https://www.thegioididong.com/laptop/itel-spirit-1-i3-71006300035,"i3, 8109U, 3GHz","4 GB, DDR4 (Onboard 4 GB +1 khe rời), 2400 MHz","256 GB SSD M.2 SATA 3 (Có thể tháo ra lắp thanh khác tối đa 1 TB), Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1 TB)","Card tích hợp, Intel Iris Plus Graphics 655","15.6"", Full HD (1920 x 1080) ",New,Windows 11 Home SL,Dài 365 mm - Rộng 261 mm - Dày 24.9 mm - Nặng 2.1 kg,"3 x USB 3.0, HDMI, LAN (RJ45), VGA (D-Sub), Jack tai nghe 3.5 mm",ITEL
Masstel E140 N4120,5.490.00,https://cdn.tgdd.vn/Products/Images/44/302951/masstel-e140-n4120-thumb-laptop-600x600.jpg,https://www.thegioididong.com/laptop/masstel-e140-n4120,"Celeron, N4120, 1.1GHz","4 GB, DDR4 (Onboard), 2400 MHz",128 GB SSD,"Card tích hợp, Intel UHD 600","14"", HD (1366 x 768)",New,Windows 10 Pro,Dài 329 mm - Rộng 220 mm - Dày 18.7 mm - Nặng 1.35 kg,"2 x USB 3.0, HDMI, Jack tai nghe 3.5 mm",MASSTEL
Dell Vostro 3510 i5 1135G7 (P112F002BBL),22.990.0,https://cdn.tgdd.vn/Products/Images/44/266280/dell-vostro-3510-i5-1135g7-8gb-512gb-2gb-600x600.jpg,https://www.thegioididong.com/laptop/dell-vostro-3510-i5-p112f002bbl,"i5, 1135G7, 2.4GHz","8 GB, DDR4 2 khe (1 khe 8 GB + 1 khe rời), 3200 MHz","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB (2280) / 1 TB (2230)), Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2 TB)","Card rời, MX350 2GB","15.6"", Full HD (1920 x 1080) ",New,Windows 11 Home SL + Office Home & Student vĩnh viễn,Dài 358.5 mm - Rộng 235.5 mm - Dày 18.9 mm - Nặng 1.69 kg,"HDMI, LAN (RJ45), USB 2.0, Jack tai nghe 3.5 mm, 2 x USB 3.2 / 1 x USB 3.2 và 1 x USB Type-C (Tuỳ thuộc vào lô hàng)",DELL
MacBook Air 13 inch M2 2022 8-core GPU,27.690.000,https://cdn.tgdd.vn/Products/Images/44/282827/apple-macbook-air-m2-2022-vang-600x600.jpg,https://www.thegioididong.com/laptop/apple-macbook-air-m2-2022,"Apple M2, 100GB/s",8 GB,256 GB SSD,"Card tích hợp, 8 nhân GPU","13.6"", Liquid Retina (2560 x 1664)",New,Mac OS,Dài 304.1 mm - Rộng 215 mm - Dày 11.3 mm - Nặng 1.24 kg,"Jack tai nghe 3.5 mm, MagSafe 3, 2 x Thunderbolt 3",MACBOOK
