Product,Price,Image,Link,CPU,RAM,Storage,Graphics,Screen,Status,OS,Size,Connector,Brand
Acer Gaming Nitro 5 AN515 57 53F9 i5 11400H (NH.QENSV.008),19.990.000,https://cdn.tgdd.vn/Products/Images/44/308489/acer-gaming-nitro-5-an515-57-53f9-i5-nhqensv008-thumb-600x600.jpg,https://www.thegioididong.com/laptop/acer-gaming-nitro-5-an515-57-53f9-i5-nhqensv008,"i5, 11400H, 2.7GHz","8 GB, DDR4 2 khe (1 khe 8 GB + 1 khe rời), 3200 MHz","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB), Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 2 TB), Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng (nâng cấp tối đa 2 TB)","Card rời, RTX 3050 4GB","15.6"", Full HD (1920 x 1080) , 144Hz",New,Windows 11 Home SL,Dài 363.4 mm - Rộng 255 mm - Dày 23.9 mm - Nặng 2.2 kg,"HDMI, LAN (RJ45), 3 x USB 3.2, Jack tai nghe 3.5 mm, 1 x USB Type-C (hỗ trợ USB 3.2, DisplayPort)",ACER
MSI Modern 14 C13M i7 1355U (607VN),19.790.000,https://cdn.tgdd.vn/Products/Images/44/306140/msi-modern-14-c13m-i7-607vn-thumb-600x600.jpg,https://www.thegioididong.com/laptop/msi-modern-14-c13m-i7-607vn,"i7, 1355U, 1.7GHz","16 GB, DDR4 (Onboard), 3200 MHz",512 GB SSD NVMe PCIe,"Card tích hợp, Intel Iris Xe","14"", Full HD (1920 x 1080) ",New,Windows 11 Home SL,Dài 319.9 mm - Rộng 223 mm - Dày 19.35 mm - Nặng 1.4 kg,"2 x USB 2.0, HDMI, Jack tai nghe 3.5 mm, 1 x USB 3.2, 1 x USB Type-C (hỗ trợ USB 3.2, DisplayPort)",MSI
Gigabyte Gaming G5 i5 12500H (GE-51VN263SH),19.990.00,https://cdn.tgdd.vn/Products/Images/44/309113/gigabyte-gaming-g5-i5-ge-51vn263sh-thumb-600x600.jpg,https://www.thegioididong.com/laptop/gigabyte-gaming-g5-i5-ge-51vn263sh,"i5, 12500H, 2.5GHz","8 GB, DDR4 2 khe (1 khe 8 GB + 1 khe rời), 3200 MHz","Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng, 512 GB SSD NVMe PCIe Gen 4.0","Card rời, RTX 3050 4GB","15.6"", Full HD (1920 x 1080) , 144Hz",New,Windows 11 Home SL,Dài 360 mm - Rộng 238 mm - Dày 22.7 mm - Nặng 1.9 kg,"Mini DisplayPort, HDMI, LAN (RJ45), 1 x USB 2.0, 1 x USB 3.2, 1 x 2-in-1 Audio Jack (Headphone / Microphone), 2 x USB Type-C 3.2 Gen 2, 1 x Microphone jack",GIGABYTE
Lenovo ThinkBook 14 G4 IAP i5 1240P (21DH00B5VN),19.190.00,https://cdn.tgdd.vn/Products/Images/44/299800/lenovo-thinkbook-14-g4-iap-i5-21dh00b5vn-251222-021334-600x600.jpg,https://www.thegioididong.com/laptop/lenovo-thinkbook-14-g4-iap-i5-21dh00b5vn,"i5, 1240P, 1.7GHz","8 GB, DDR4 2 khe (1 khe 8 GB onboard + 1 khe trống), 3200 MHz","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB), Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1 TB)","Card tích hợp, Intel UHD","14"", Full HD (1920 x 1080) ",New,Windows 11 Home SL,Dài 323 mm - Rộng 218 mm - Dày 17.9 mm - Nặng 1.4 kg,"1 x Thunderbolt 4 (hỗ trợ Power Delivery 3.0 và DisplayPort 1.4), HDMI, LAN (RJ45), Jack tai nghe 3.5 mm, 1 x USB 3.2 (Always on), USB Type-C (hỗ trợ truyền dữ liệu, Power Delivery 3.0 và DisplayPort 1.4), 1 x USB 3.2",LENOVO
Asus ExpertBook B5402CB i5 1240P (KI0353W),26.990.0,https://cdn.tgdd.vn/Products/Images/44/298373/asus-expertbook-b5402cba-i5-ki0353w-thumb-600x600.jpg,https://www.thegioididong.com/laptop/asus-expertbook-b5402cb-i5-ki0353w,"i5, 1240P, 1.7GHz","16 GB, DDR5 2 khe (1 khe 8 GB onboard + 1 khe 8 GB), 4800 MHz","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB), Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1 TB)","Card tích hợp, Intel Iris Xe","14"", Full HD (1920 x 1080) ",New,Windows 11 Home SL,Dài 323.4 mm - Rộng 223.1 mm - Dày 18 mm - Nặng 1.25 kg,"2 x Thunderbolt 4 hỗ trợ display / power delivery, HDMI, LAN (RJ45), Jack tai nghe 3.5 mm, 1 x USB 2.0, 1 x USB 3.2",ASUS
HP Elitebook 630 G9 i5 1235U (6M143PA),19.890.000,https://cdn.tgdd.vn/Products/Images/44/291155/hp-elitebook-630-g9-i5-6m143pa-thumb-lap-600x600.jpg,https://www.thegioididong.com/laptop/hp-elitebook-630-g9-i5-6m143pa,"i5, 1235U, 1.3GHz","8 GB, DDR4 2 khe (1 khe 8 GB + 1 khe rời), 3200 MHz",512 GB SSD NVMe PCIe,"Card tích hợp, Intel UHD","13.3"", Full HD (1920 x 1080) ",New,Windows 11 Home SL,Dài 306.9 mm - Rộng 208.4 mm - Dày 15.9 mm - Nặng 1.28 kg,"Thunderbolt 4, HDMI, LAN (RJ45), Jack tai nghe 3.5 mm, 2x SuperSpeed USB A",HP
Asus TUF Gaming F15 FX506HC i5 11400H (HN144W),25.990.0,https://cdn.tgdd.vn/Products/Images/44/275262/asus-tuf-gaming-fx506hc-i5-11400h-8gb-512gb-4gb-600x600.jpg,https://www.thegioididong.com/laptop/asus-tuf-gaming-fx506hc-i5-hn144w,"i5, 11400H, 2.7GHz","8 GB, DDR4 2 khe (1 khe 8 GB + 1 khe rời), 3200 MHz","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB), Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1 TB)","Card rời, RTX 3050 4GB","15.6"", Full HD (1920 x 1080) , 144Hz",New,Windows 11 Home SL,Dài 359 mm - Rộng 256 mm - Dày 24.5 mm - Nặng 2.3 kg,"HDMI, LAN (RJ45), 3 x USB 3.2, Jack tai nghe 3.5 mm, Thunderbolt 4 USB-C",ASUS
Lenovo Yoga Slim 7 Carbon 13ITL5 i5 1135G7 (82EV00AVVN),20.290.000,https://cdn.tgdd.vn/Products/Images/44/284189/lenovo-yoga-slim-7-carbon-13itl5-i5-82nh00avvn-020722-015914-600x600.jpg,https://www.thegioididong.com/laptop/lenovo-yoga-slim-7-carbon-13itl5-i5-82nh00avvn,"i5, 1135G7, 2.4GHz","16 GB, LPDDR4X (Onboard), 4266 MHz","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)","Card tích hợp, Intel Iris Xe","13.3"", WQXGA (2560 x 1600)",New,Windows 11 Home SL,Dài 295.88 mm - Rộng 208.85 mm - Dày 15 mm - Nặng 0.966 kg,"Jack tai nghe 3.5 mm, 1x USB-C 3.2 Gen 2 (support data transfer, Power Delivery 3.0, DisplayPort 1.4, and Always On), 2 x Thunderbolt 4",LENOVO
HP Pavilion 15 eg2062TX i5 1235U (7C0W7PA),20.590.00,https://cdn.tgdd.vn/Products/Images/44/308526/hp-pavilion-15-eg2062tx-i5-7c0w7pa-thumb-600x600.jpg,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2062tx-i5-7c0w7pa,"i5, 1235U, 1.3GHz","8 GB, DDR4 2 khe (1 khe 4 GB + 1 khe 4 GB), 3200 MHz",512 GB SSD NVMe PCIe,"Card rời, MX550 2GB","15.6"", Full HD (1920 x 1080) ",New,Windows 11 Home SL,Dài 360.2 mm - Rộng 234 mm - Dày 17.9 mm - Nặng 1.74 kg,"USB Type-C, HDMI, Jack tai nghe 3.5 mm, 2 x USB 3.2",HP
Gigabyte Gaming G5 i5 12500H (GE-51VN213SH),20.990.00,https://cdn.tgdd.vn/Products/Images/44/309114/gigabyte-gaming-g5-i5-ge-51vn213sh-thumb-600x600.jpg,https://www.thegioididong.com/laptop/gigabyte-gaming-g5-i5-ge-51vn213sh,"i5, 12500H, 2.5GHz","16 GB, DDR4 2 khe (1 khe 8 GB + 1 khe 8 GB), 3200 MHz","Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng, 512 GB SSD NVMe PCIe Gen 4.0","Card rời, RTX 3050 4GB","15.6"", Full HD (1920 x 1080) , 144Hz",New,Windows 11 Home SL,Dài 360 mm - Rộng 238 mm - Dày 22.7 mm - Nặng 1.9 kg,"Mini DisplayPort, HDMI, LAN (RJ45), 1 x USB 2.0, 1 x USB 3.2, 1 x 2-in-1 Audio Jack (Headphone / Microphone), 2 x USB Type-C 3.2 Gen 2, 1 x Microphone jack",GIGABYTE
HP Pavilion X360 14 ek1048TU i5 1335U (80R26PA),20.590.000,https://cdn.tgdd.vn/Products/Images/44/306688/hp-pavilion-x360-14-ek1048tu-i5-80r26pa-thumb-lap-600x600.jpg,https://www.thegioididong.com/laptop/hp-pavilion-x360-14-ek1048tu-i5-80r26pa,"i5, 1335U, 1.3GHz","8 GB, DDR4 (Onboard), 3200 MHz",512 GB SSD NVMe PCIe,"Card tích hợp, Intel Iris Xe","14"", Full HD (1920 x 1080) ",New,Windows 11 Home SL,Dài 322 mm - Rộng 210 mm - Dày 19.9 mm - Nặng 1.53 kg,"HDMI, Jack tai nghe 3.5 mm, 2 x USB 3.2, 1 x USB Type-C 3.2 (hỗ trợ Power Delivery và DisplayPort)",HP
Asus Vivobook 14X OLED S3405VA i5 13500H (KM072W),21.990.000,https://cdn.tgdd.vn/Products/Images/44/306197/asus-vivobook-14x-oled-s3405va-i5-km072w-thumb-600x600.jpg,https://www.thegioididong.com/laptop/asus-vivobook-14x-oled-s3405va-i5-km072w,"i5, 13500H, 2.6GHz","16 GB, DDR4 2 khe (8 GB onboard+ 1 khe 8 GB), 3200 MHz",512 GB SSD NVMe PCIe,"Card tích hợp, Intel Iris Xe","14"", 2.8K (2880 x 1800) - OLED 16:10, 90Hz",New,Windows 11 Home SL,Dài 317.1 mm - Rộng 222.5 mm - Dày 18.9 mm - Nặng 1.4 kg,"USB Type-C, HDMI, Jack tai nghe 3.5 mm, 2 x USB 3.2",ASUS
Asus Vivobook 15 X1504VA i7 1355U (NJ023W),22.990.0,https://cdn.tgdd.vn/Products/Images/44/305009/asus-vivobook-15-x1504va-nj023w-thumb-600x600.jpg,https://www.thegioididong.com/laptop/asus-vivobook-15-x1504va-nj023w,"i7, 1355U, 1.7GHz","16 GB, DDR4 2 khe (8 GB onboard+ 1 khe 8 GB), 3200 MHz","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)","Card tích hợp, Intel Iris Xe","15.6"", Full HD (1920 x 1080) ",New,Windows 11 Home SL,Dài 359.7 mm - Rộng 232.5 mm - Dày 17.9 mm - Nặng 1.7 kg,"USB Type-C, HDMI, Jack tai nghe 3.5 mm, 1 x USB 2.0, 2 x USB 3.2",ASUS
MSI Gaming GF65 Thin 10UE i5 10500H (286VN),20.990.000,https://cdn.tgdd.vn/Products/Images/44/250547/msi-gamin-gf65-thin-10ue-i5-10500h-16gb-512gb-6gb-600x600.jpg,https://www.thegioididong.com/laptop/msi-gaming-gf65-thin-10ue-i5-286vn,"i5, 10500H, 2.5GHz","16 GB, DDR4 2 khe (1 khe 8 GB + 1 khe 8 GB), 3200 MHz","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB), Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 2 TB)","Card rời, RTX 3060 Max-Q 6GB","15.6"", Full HD (1920 x 1080) , 144Hz",New,Windows 10 Home SL,Dài 359 mm - Rộng 254 mm - Dày 21.7 mm - Nặng 1.86 kg,"2 x USB Type-C, HDMI, LAN (RJ45), Jack tai nghe 3.5 mm, 2 x USB 3.2",MSI
MSI Gaming GF63 Thin 12VE i5 12450H (460VN),22.490.00,https://cdn.tgdd.vn/Products/Images/44/308697/msi-gaming-gf63-thin-12ve-i5-460vn-thumb-600x600.jpg,https://www.thegioididong.com/laptop/msi-gaming-gf63-thin-12ve-i5-460vn,"i5, 12450H, 2GHz","8 GB, DDR4 2 khe (1 khe 8 GB + 1 khe rời), 3200 MHz","512 GB SSD NVMe PCIe Gen 4.0, Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng","Card rời, RTX 4050 6GB","15.6"", Full HD (1920 x 1080) , 144Hz",New,Windows 11 Home SL,Dài 359 mm - Rộng 254 mm - Dày 21.7 mm - Nặng 1.86 kg,"HDMI, LAN (RJ45), 3 x USB 3.2, Jack tai nghe 3.5 mm, 1 x USB Type-C (hỗ trợ USB 3.2, DisplayPort)",MSI
HP Pavilion X360 14 ek1049TU i5 1335U (80R27PA),21.990.000,https://cdn.tgdd.vn/Products/Images/44/306689/hp-pavilion-x360-14-ek1049tu-i5-80r27pa-thumb-lap-600x600.jpg,https://www.thegioididong.com/laptop/hp-pavilion-x360-14-ek1049tu-i5-80r27pa,"i5, 1335U, 1.3GHz","16 GB, DDR4 (Onboard), 3200 MHz",512 GB SSD NVMe PCIe,"Card tích hợp, Intel Iris Xe","14"", Full HD (1920 x 1080) ",New,Windows 11 Home SL,Dài 322 mm - Rộng 210 mm - Dày 19.9 mm - Nặng 1.53 kg,"HDMI, Jack tai nghe 3.5 mm, 2 x USB 3.2, 1 x USB Type-C 3.2 (hỗ trợ Power Delivery và DisplayPort)",HP
Dell Vostro 5630 i5 1340P (i5P085W11GRU),21.990.00,https://cdn.tgdd.vn/Products/Images/44/306605/dell-vostro-5630-i5-i5p085w11gru-thumb-600x600.jpg,https://www.thegioididong.com/laptop/dell-vostro-5630-i5-i5p085w11gru,"i5, 1340P, 1.9GHz","8 GB, LPDDR5 (Onboard), 4800 MHz","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB (2280) / 1 TB (2230))","Card tích hợp, Intel Iris Xe","16"", Full HD+ (1920 x 1200)",New,Windows 11 Home SL + Office Home & Student vĩnh viễn,Dài 356.78 mm - Rộng 251.9 mm - Dày 15.67 ~ 17.95 mm - Nặng 1.9 kg,"1 x Thunderbolt 4 (hỗ trợ display/power delivery), HDMI, LAN (RJ45), Jack tai nghe 3.5 mm, 2 x USB 3.2",DELL
Lenovo Yoga 7 14IAL7 i5 1240P (82QE000RVN),21.690.000,https://cdn.tgdd.vn/Products/Images/44/288305/lenovo-yoga-slim-7-14ial7-i5-82qe000rvn-thumb-600x600.jpg,https://www.thegioididong.com/laptop/lenovo-yoga-7-14ial7-i5-82qe000rvn,"i5, 1240P, 1.7GHz","16 GB, LPDDR5 (Onboard), 4800 MHz","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)","Card tích hợp, Intel Iris Xe","14"", 2.8K (2880 x 1800) - OLED, 90Hz",New,Windows 11 Home SL,Dài 316.66 mm - Rộng 220.25 mm - Dày 17.35 mm - Nặng 1.42 kg,"HDMI, Jack tai nghe 3.5 mm, 2 x Thunderbolt 4, 1 x USB 3.2 (Always on)",LENOVO
Dell Vostro 3400 i7 1165G7 (V4I7015W1),25.190.0,https://cdn.tgdd.vn/Products/Images/44/267557/dell-vostro-3400-i7-1165g7-8gb-512gb-2gb-600x600.jpg,https://www.thegioididong.com/laptop/dell-vostro-3400-i7-v4i7015w1,"i7, 1165G7, 2.8GHz","8 GB, DDR4 2 khe (1 khe 8 GB + 1 khe rời), 3200 MHz",512 GB SSD NVMe PCIe,"Card rời, MX330 2GB","14"", Full HD (1920 x 1080) ",New,Windows 11 Home SL + Office Home & Student vĩnh viễn,Dài 328.7 mm - Rộng 239.5 mm - Dày 19.9 mm - Nặng 1.64 kg,"USB Type-C, HDMI, LAN (RJ45), USB 2.0, Jack tai nghe 3.5 mm, 2 x USB 3.2",DELL
Acer Nitro 5 Gaming AN515 57 720A i7 11800H (NH.QEQSV.004),21.890.000,https://cdn.tgdd.vn/Products/Images/44/260058/acer-nitro-5-gaming-an515-57-720a-i7-nhqeqsv004-171121-024959-600x600.jpg,https://www.thegioididong.com/laptop/acer-nitro-5-gaming-an515-57-720a-i7-nhqeqsv004,"i7, 11800H, 2.30 GHz","8 GB, DDR4 2 khe (1 khe 8 GB + 1 khe rời), 3200 MHz","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB), Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1 TB), Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2 TB)","Card rời, RTX 3050Ti 4GB","15.6"", Full HD (1920 x 1080) , 144Hz",New,Windows 11 Home SL,Dài 363.4 mm - Rộng 255 mm - Dày 23.9 mm - Nặng 2.2 kg,"USB Type-C, HDMI, LAN (RJ45), 3 x USB 3.2, Jack tai nghe 3.5 mm",ACER
Lenovo Yoga Slim 7 Pro 14IHU5 i7 11370H (82NH00ALVN),21.690.000,https://cdn.tgdd.vn/Products/Images/44/288374/lenovo-yoga-slim-7-pro-14ihu5-i7-82nh00alvn-thumb-new-600x600.jpg,https://www.thegioididong.com/laptop/lenovo-yoga-slim-7-pro-14ihu5-i7-82nh00alvn,"i7, 11370H, 3.3GHz","16 GB, LPDDR4X (Onboard), 4266 MHz","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)","Card tích hợp, Intel Iris Xe","14"", 2.8K (2880 x 1800) - OLED, 90Hz",New,Windows 11 Home SL + Office Home & Student vĩnh viễn,Dài 312.4 mm - Rộng 221.4 mm - Dày 14.9 mm - Nặng 1.38 kg,"Jack tai nghe 3.5 mm, 2 x Thunderbolt 4, 1 x USB 3.2 (Always on)",LENOVO
Dell Vostro 5620 i5 1240P (70296963),25.490.0,https://cdn.tgdd.vn/Products/Images/44/292592/dell-vostro-5620-i5-70296963-thumb-laptop-600x600.jpg,https://www.thegioididong.com/laptop/dell-vostro-5620-i5-70296963,"i5, 1240P, 1.7GHz","8 GB, DDR4 2 khe (1 khe 8 GB + 1 khe rời), 3200 MHz","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB (2280) / 1 TB (2230))","Card rời, MX570 2GB","16"", Full HD+ (1920 x 1200)",New,Windows 11 Home SL + Office Home & Student vĩnh viễn,Dài 356 mm - Rộng 252 mm - Dày 18 mm - Nặng 1.97 kg,"HDMI, LAN (RJ45), Jack tai nghe 3.5 mm, 2 x USB 3.2, USB Type-C (hỗ trợ Power Delivery và DisplayPort)",DELL
Lenovo Ideapad 5 Pro 14IAP7 i7 1260P (82SH002SVN),21.990.000,https://cdn.tgdd.vn/Products/Images/44/288199/lenovo-ideapad-5-pro-14iap7-i7-82sh002svn-ab-thumb-600x600.jpg,https://www.thegioididong.com/laptop/lenovo-ideapad-5-pro-14iap7-i7-82sh002svn,"i7, 1260P, 2.1GHz","16 GB, LPDDR5 (Onboard), 4800 MHz","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB (2280) / 512 GB (2242))","Card tích hợp, Intel Iris Xe","14"", 2.8K (2880 x 1800), 90Hz",New,Windows 11 Home SL,Dài 312.2 mm - Rộng 221 mm - Dày 15.9 mm - Nặng 1.42 kg,"2 x USB Type-C, HDMI, Jack tai nghe 3.5 mm, 1 x USB 3.2 (Always on), 1 x USB 3.2",LENOVO
HP Pavilion 15 eg2034TX i7 1255U (6K780PA),22.090.000,https://cdn.tgdd.vn/Products/Images/44/285967/hp-pavilion-15-eg2034tx-i7-6k780pa-180822-030835-600x600.jpg,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2034tx-i7-6k780pa,"i7, 1255U, 1.7GHz","8 GB, DDR4 2 khe (1 khe 4 GB + 1 khe 4 GB), 3200 MHz",512 GB SSD NVMe PCIe,"Card rời, MX550 2GB","15.6"", Full HD (1920 x 1080) ",New,Windows 11 Home SL,Dài 360.2 mm - Rộng 234 mm - Dày 17.9 mm - Nặng 1.74 kg,"USB Type-C, HDMI, Jack tai nghe 3.5 mm, 2 x USB 3.2",HP
Lenovo ThinkPad E15 Gen 4 i7 1260P (21E600CPVN),22.690.00,https://cdn.tgdd.vn/Products/Images/44/299799/lenovo-thinkpad-e15-gen-4-i7-21e600cpvn-thumb-laptop-600x600.jpg,https://www.thegioididong.com/laptop/lenovo-thinkpad-e15-gen-4-i7-21e600cpvn,"i7, 1260P, 2.1GHz","16 GB, DDR4 2 khe (8 GB onboard+ 1 khe 8 GB), 3200 MHz","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB), Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1 TB)","Card tích hợp, Intel Iris Xe","15.6"", Full HD (1920 x 1080) ",New,Windows 11 Home SL,Dài 365 mm - Rộng 240 mm - Dày 18.9 mm - Nặng 1.7 kg,"1 x Thunderbolt 4 (hỗ trợ Power Delivery 3.0 và DisplayPort 1.4), HDMI, LAN (RJ45), Jack tai nghe 3.5 mm, 1 x USB 2.0, 1 x USB 3.2",LENOVO
Asus Vivobook 15 OLED A1505VA i9 13900H (L1201W),23.090.000,https://cdn.tgdd.vn/Products/Images/44/306196/asus-vivobook-15-oled-a1505va-i9-l1201w-thumb-600x600.jpg,https://www.thegioididong.com/laptop/asus-vivobook-15-oled-a1505va-i9-l1201w,"i9, 13900H, 2.6GHz","16 GB, DDR4 2 khe (8 GB onboard+ 1 khe 8 GB), 3200 MHz",512 GB SSD NVMe PCIe,"Card tích hợp, Intel Iris Xe","15.6"", Full HD (1920 x 1080) OLED",New,Windows 11 Home SL,Dài 356.8 mm - Rộng 227.6 mm - Dày 19.9 mm - Nặng 1.7 kg,"HDMI, Jack tai nghe 3.5 mm, 1 x USB 2.0, 2 x USB 3.2, 1 x USB Type-C 3.2 (hỗ trợ Power Delivery)",ASUS
HP Pavilion 15 eg2088TU i7 1260P (7C0R0PA),22.790.000,https://cdn.tgdd.vn/Products/Images/44/302209/hp-pavilion-15-eg2088tu-i7-7c0r0pa-thumb-600x600.jpg,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2088tu-i7-7c0r0pa,"i7, 1260P, 2.1GHz","16 GB, DDR4 2 khe (1 khe 8 GB + 1 khe 8 GB), 3200 MHz",512 GB SSD NVMe PCIe,"Card tích hợp, Intel Iris Xe","15.6"", Full HD (1920 x 1080) ",New,Windows 11 Home SL,Dài 360.2 mm - Rộng 234 mm - Dày 17.9 mm - Nặng 1.74 kg,"USB Type-C, HDMI, Jack tai nghe 3.5 mm, 2 x USB 3.2",HP
Dell Vostro 5620 i5 1240P (70282719),24.990.0,https://cdn.tgdd.vn/Products/Images/44/285248/dell-vostro-5620-i5-70282719-thumb-laptop-600x600.jpg,https://www.thegioididong.com/laptop/dell-vostro-5620-i5-70282719,"i5, 1240P, 1.7GHz","16 GB, DDR4 2 khe (1 khe 8 GB + 1 khe 8 GB), 3200 MHz","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB (2280) / 1 TB (2230))","Card tích hợp, Intel Iris Xe","16"", Full HD+ (1920 x 1200)",New,Windows 11 Home SL + Office Home & Student vĩnh viễn,Dài 356 mm - Rộng 252 mm - Dày 18 mm - Nặng 1.97 kg,"USB Type-C, HDMI, LAN (RJ45), Jack tai nghe 3.5 mm, 2 x USB 3.2",DELL
Acer Nitro 5 Tiger AN515 58 52SP i5 12500H (NH.QFHSV.001),22.990.000,https://cdn.tgdd.vn/Products/Images/44/272282/acer-nitro-5-tiger-an515-58-52sp-i5-nhqfhsv001-180222-043416-600x600.jpg,https://www.thegioididong.com/laptop/acer-nitro-5-tiger-an515-58-52sp-i5-nhqfhsv001,"i5, 12500H, 2.5GHz","8 GB, DDR4 2 khe (1 khe 8 GB + 1 khe rời), 3200 MHz","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB), Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1 TB), Hỗ trợ thêm 1 khe cắm HDD SATA (nâng cấp tối đa 1 TB)","Card rời, RTX 3050 4GB","15.6"", Full HD (1920 x 1080) , 144Hz",New,Windows 11 Home SL,Dài 360.4 mm - Rộng 271.09 mm - Dày 25.9 mm - Nặng 2.5 kg,"HDMI, LAN (RJ45), 3 x USB 3.2, Jack tai nghe 3.5 mm, Thunderbolt 4 USB-C",ACER
Lenovo ThinkBook 14s G2 ITL i5 1135G7 (20VA000NVN),23.690.00,https://cdn.tgdd.vn/Products/Images/44/235393/lenovo-thinkbook-14s-g2-itl-i5-20va000nvn-600x600-600x600.jpg,https://www.thegioididong.com/laptop/lenovo-thinkbook-14s-g2-itl-i5-20va000nvn,"i5, 1135G7, 2.4GHz","8 GB, DDR4 (Onboard), 4266 MHz","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB (2280) / 512 GB (2242))","Card tích hợp, Intel Iris Xe","14"", Full HD (1920 x 1080) ",New,Windows 10 Home SL,Dài 322 mm - Rộng 207 mm - Dày 14.9 mm - Nặng 1.27 kg,"HDMI, Jack tai nghe 3.5 mm, Thunderbolt 4 USB-C, 2 x USB 3.2",LENOVO
HP VICTUS 15 fa0155TX i5 12450H (81P00PA),23.990.000,https://cdn.tgdd.vn/Products/Images/44/306687/hp-victus-15-fa0155tx-i5-81p00pa-thumb-laptop-600x600.jpg,https://www.thegioididong.com/laptop/hp-victus-15-fa0155tx-i5-81p00pa,"i5, 12450H, 2GHz","16 GB, DDR4 2 khe (1 khe 8 GB + 1 khe 8 GB), 3200 MHz",512 GB SSD NVMe PCIe,"Card rời, RTX 3050 4GB","15.6"", Full HD (1920 x 1080) , 144Hz",New,Windows 11 Home SL,Dài 357.9 mm - Rộng 255 mm - Dày 23.5 mm - Nặng 2.31 kg,"HDMI, LAN (RJ45), Jack tai nghe 3.5 mm, 2 x USB 3.2, 1 x USB Type-C 3.2 (hỗ trợ DisplayPort)",HP
MSI Summit E14 Evo A12M i7 1280P (211VN),23.990.000,https://cdn.tgdd.vn/Products/Images/44/304541/msi-summit-e14-evo-a12m-i7-211vn-thumb-600x600.jpg,https://www.thegioididong.com/laptop/msi-summit-e14-evo-a12m-i7-211vn,"i7, 1280P, 1.8GHz","16 GB, LPDDR5 (Onboard), 4800 MHz",512 GB SSD NVMe PCIe Gen 4.0,"Card tích hợp, Intel Iris Xe","14"", Full HD+ (1920 x 1200)",New,Windows 11 Home SL,Dài 314 mm - Rộng 227.5 mm - Dày 17.9 mm - Nặng 1.6 kg,"HDMI, Jack tai nghe 3.5 mm, 1 x USB 3.2, 2 x USB Type-C (hỗ trợ USB, Power Delivery, DisplayPort và Thunderbolt 4)",MSI
