Name,Price,URL,ImgURL,CPU,Ram,Ram_slot,Storage,Graphics,Display,Battery,Wireless,Weight,Size,Color,OS
Laptop Asus Gaming ROG Strix G15 G513IE-HN246W,25490000,https://www.phucanh.vn//laptop-asus-gaming-g513ie-hn246w.html,https://phucanhcdn.com/media/product/250_49123_laptop_asus_gaming_g513i_amd_a5.jpg,AMD Ryzen 7 4800H 2.9 GHz,8Gb DDR4 3200,2,512GB SSD M.2 NVMe PCIe,Nvidia GeForce RTX 3050Ti 4Gb GDDR6,15.6inch Full HD,Battery,Wi-Fi 6(802.11ax)+Bluetooth 5.1 (Dual band) 2*2,"2,1 Kg","15.6inch Full HD,354 x 259 x 20.7-26 mm",Grey,Windows 11 Home
Laptop Asus TUF Gaming FA707RC-HX130W,28990000,https://www.phucanh.vn//laptop-asus-tuf-gaming-fa707rc-hx130w.html,https://phucanhcdn.com/media/product/250_49122_laptop_asus_tuf_gaming_fa707rc_amd_a_6.jpg,AMD Ryzen 7 6800H 3.2 GHz,8Gb DDR4 3200,2,512GB SSD M.2 NVMe PCIe,Nvidia GeForce RTX 3050 4Gb GDDR6,Khoảng 17 inch,Battery,Intel Wi-Fi 6(Gig+)(802.11ax)+Bluetooth 5.1 (Dual band) 2*2,"2,2 Kg","Khoảng 17 inch,359.8 x 256 x 22.8 mm",Grey,Windows 11 Home
Laptop Asus TUF Gaming FX706HC-HX579W,24990000,https://www.phucanh.vn//laptop-asus-tuf-gaming-fx706hc-hx579w.html,https://phucanhcdn.com/media/product/250_49056_laptop_asus_tuf_gaming_fx706_intel__a2.jpg,Core i5 Tiger Lake 11400H 2.7 GHz,8Gb DDR4 3200,2,512GB SSD M.2 NVMe PCIe,Nvidia GeForce RTX 3050 4Gb GDDR6,Khoảng 17 inch,Battery,Intel Wi-Fi 6(Gig+)(802.11ax)+Bluetooth 5.1 (Dual band) 2*2,"2,2 Kg","Khoảng 17 inch,359.8 x 256 x 22.8 mm",Grey,Windows 11 Home
Laptop Asus Vivobook A1503ZA-L1352W,24990000,https://www.phucanh.vn//laptop-asus-vivobook-a1503za-l1352w.html,https://phucanhcdn.com/media/product/250_49053_laptop_asus_vivobook_a1503za__a5.jpg,Core i7 Alder Lake 12700H 3.5 GHz,8Gb (Onboard) DDR4 3200,1,512GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,15.6inch Full HD,Battery,Wi-Fi 6(802.11ax)+Bluetooth 5.0 (Dual band) 2*2,"1,8 Kg","15.6inch Full HD,359 x 235 x 17.9-17.9 mm",Blue,Windows 11 Home
Laptop Asus Zenbook Pro 14 Duo UX8402ZE-M3044W,56990000,https://www.phucanh.vn//laptop-asus-zenbook-pro-14-duo-ux8402ze-m3044w.html,https://phucanhcdn.com/media/product/250_48951_laptop_asus_zenbook_pro_14_duo_ux8402ze_m3044w_11.jpg,Core i7 Alder Lake 12700H 3.5 GHz,16Gb (Onboard) DDR5 4800,Không hỗ trợ,1TB SSD M.2 NVMe PCIe 2280,Nvidia GeForce RTX 3050Ti 4Gb GDDR6,14.5inch 2.8K Touch,Battery,Wi-Fi 6E(802.11ax) (Dual band) 2*2 + Bluetooth 5.2,"1,6 Kg","14.5inch 2.8K Touch,324 x 222 x 16.9-17.3 mm",Black,Windows 11 Home
Laptop Dell Latitude 3420 42LT342004,24990000,https://www.phucanh.vn//may-tinh-xach-tay-dell-latitude-3420-42lt342004.html,https://phucanhcdn.com/media/product/250_48881_laptop_dell_latitude_3420_intel_black_a5.gif,Core i7 Tiger Lake 1165G7 2.8 GHz,8Gb DDR4 3200,2,256GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,14.0inch Full HD,Battery,Intel Wi-Fi 6 AX201 2x2 802.11ax 160MHz + Bluetooth 5.0,"1,52 Kg","14.0inch Full HD,326 x 226 x 17.6 mm",Black,NoOS
Laptop HP EliteBook X360 830 G9 6Z963PA,40990000,https://www.phucanh.vn//laptop-hp-elitebook-x360-830-g9-6z963pa.html,https://phucanhcdn.com/media/product/250_50286_laptop_hp_elitebook_x360_830_g9_6z963pa_7.jpg,Core i7 Alder Lake 1255U 3.5 GHz,8Gb (Onboard) DDR5 4800,Không hỗ trợ,512GB SSD M.2 NVMe PCIe 2280,Intel Iris Xe Graphics,13.3inch WUXGA Touch,Battery,Intel AX201 Wi-Fi 6 (2x2) and Bluetooth 5 combo,"1,35 Kg","13.3inch WUXGA Touch,30.01 x 21.62 x 1.92 cm",Silver,Windows 11 Pro
Laptop HP EliteBook 1040 G9 6Z984PA,43590000,https://www.phucanh.vn//laptop-hp-elitebook-1040-g9-6z984pa.html,https://phucanhcdn.com/media/product/250_50284_laptop_hp_elitebook_1040_g9_6z984pa_5.jpg,Core i7 Alder Lake 1255U 3.5 GHz,16Gb (Onboard) DDR5 4800,Không hỗ trợ,512GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,14.0inch WUXGA,Battery,Wi-Fi6 (2x2) and Bluetooth 5,"1,35 Kg","14.0inch WUXGA,31.56 x 22.56 x 1.92 cm",Silver,Windows 11 Pro
Laptop Asus Zenbook Pro 14 Duo UX8402ZE-M3074W,65990000,https://www.phucanh.vn//laptop-asus-zenbook-pro-14-duo-ux8402ze-m3074w.html,https://phucanhcdn.com/media/product/250_50283_laptop_asus_zenbook_pro_14_duo_ux8402ze_m3074w_9.jpg,Core i9 Alder Lake 12900HK 3.8 GHz,32Gb (Onboard) DDR5 5200,Không hỗ trợ,1TB SSD M.2 NVMe PCIe 2280,Nvidia GeForce RTX 3050Ti 4Gb GDDR6,14.5inch 2.8K Touch,Battery,Wi-Fi 6E(802.11ax) (Dual band) 2*2 + Bluetooth 5.2,"1,75 Kg","14.5inch 2.8K Touch,324 x 222 x 16.9-17.3 mm",Black,Windows 11 Home
Laptop Asus Pro Art Studio 16 OLED W7600Z3A-L2048W,82990000,https://www.phucanh.vn//laptop-asus-pro-art-studio-16-oled-w7600z3a-l2048w.html,https://phucanhcdn.com/media/product/250_50282_laptop_asus_pro_art_studio_16_oled_w7600z3a_l2048w_8.jpg,Core i9 Alder Lake 12900HK 3.8 GHz,32Gb DDR4 4800,2,1TB SSD M.2 NVMe PCIe 2280,Nvidia GeForce RTX A3000 12GB GDDR6,16.0inch 4K,Battery,Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth 5.2,"2,4Kg","16.0inch 4K,36.20 x 26.40 x 1.99 ~ 2.14 cm",Black,Windows 11 Home
Laptop Asus Vivobook Pro 14X OLED N7401ZE-M9028W,37990000,https://www.phucanh.vn//laptop-asus-vivobook-pro-14x-oled-n7401ze-m9028w.html,https://phucanhcdn.com/media/product/250_50281_laptop_asus_vivobook_pro_14x_oled_n7401ze_m9028w_8.jpg,Core i7 Alder Lake 12700H 3.5 GHz,16Gb (Onboard) DDR5 4800,Không hỗ trợ,512GB SSD M.2 NVMe PCIe 2280,Nvidia GeForce RTX 3050Ti 4Gb GDDR6,14.5inch 2.8K,Battery,Wi-Fi 6E(802.11ax) (Dual band) 2*2 + Bluetooth 5.2,"1,65 Kg","14.5inch 2.8K,359.8 x 235.3 x 19.5-19.5 mm",Silver,Windows 11 Home
Laptop Asus Vivobook Pro 16X OLED N7600ZE-L2010W,42990000,https://www.phucanh.vn//laptop-asus-vivobook-pro-16x-oled-n7600ze-l2010w.html,https://phucanhcdn.com/media/product/250_50280_laptop_asus_vivobook_pro_16x_oled_n7600ze_l2010w_7.jpg,Core i7 Alder Lake 12700H 3.5 GHz,16Gb (Onboard) DDR5 4800,Không hỗ trợ,1TB SSD M.2 NVMe PCIe 2280,Nvidia GeForce RTX 3050Ti 4Gb GDDR6,16.0inch 4K,Battery,Wi-Fi 6E(802.11ax) (Dual band) 2*2 + Bluetooth 5.2,"2,0 Kg","16.0inch 4K,36.05 x 25.90 x 1.89 ~ 1.89 cm",Silver,Windows 11 Home
Laptop HP 15s fq5161TU 7C0S2PA,18690000,https://www.phucanh.vn//laptop-hp-15s-fq5161tu-7c0s2pa.html,https://phucanhcdn.com/media/product/250_50232_laptop_hp_15s_fq5161tu_7c0s2pa_5.jpg,Core i5 Alder Lake 1235U 1.3 GHz,8Gb (2x4Gb) DDR4 3200,2,512GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,15.6inch Full HD,Battery,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi and Bluetooth 5 combo,"1,69","15.6inch Full HD,35.85 x 24.2 x 1.79 cm",Blue,Windows 11 Home
Laptop HP EliteBook 840 G9 6Z970PA,37590000,https://www.phucanh.vn//laptop-hp-elitebook-840-g9-6z970pa.html,https://phucanhcdn.com/media/product/250_49812_hp_elitebook_840_g9_silver_a5.jpg,Core i7 Alder Lake 1260P 2.1 GHz,8Gb DDR5 4800,2,512GB SSD M.2 NVMe PCIe 2280,Intel Iris Xe Graphics,14.0inch WUXGA,Battery,Intel Wi-Fi 6E AX211 (2x2) and Bluetooth 5.2 combo (supporting gigabit data rate),"1,36 Kg","14.0inch WUXGA,32.19 x 21.39 x 1.99 cm",Silver,Windows 11 Home
Laptop Lenovo ThinkPad X13 GEN 2 20XH009UVN,30990000,https://www.phucanh.vn//may-tinh-xach-tay-lenovo-thinkpad-x13-gen-2-20xh009uvn.html,https://phucanhcdn.com/media/product/250_49787_lenovo_thinkpad_x13_gen_2__storm_gray_amd_a1.jpg,AMD Ryzen 5 Pro 5650U 2.3 GHz,16Gb (Onboard) DDR4 3200,Không hỗ trợ,512GB SSD M.2 NVMe PCIe 2280,AMD Radeon Graphics,13.3inch WQXGA,Battery,"Mediatek MT7921 11ax, 2x2 + BT5.2","1,21 Kg","13.3inch WQXGA,305.8 x 217.6 x 18.19 mm",Grey,Windows 11 Pro
Laptop HP Pavilion x360 14-ek0130TU 7C0P5PA,17390000,https://www.phucanh.vn//laptop-hp-pavilion-x360-14-ek0130tu-7c0p5pa.html,https://phucanhcdn.com/media/product/250_49786_hp_pavilion_x360_14_ek0130tu_gold_a5.jpg,Core i3 Alder Lake 1215U 1.2 GHz,8Gb (Onboard) DDR4 3200,Không hỗ trợ,256GB SSD M.2 NVMe PCIe 2280,Intel UHD Graphics,Khoảng 14 inch,Battery,Realtek Wi-Fi 6 (2x2) and Bluetooth 5.3 compatible combo (supporting gigabit data rate),"1,51 Kg","Khoảng 14 inch,32.2 x 21 x 1.99 cm",Gold,Windows 11 Home
Laptop MSI Gaming Katana GF66 12UDK-684VN,27590000,https://www.phucanh.vn//laptop-msi-gaming-katana-gf66-12udk-684vn.html,https://phucanhcdn.com/media/product/250_49784_msi_gaming_katana_gf66_a6.jpg,Core i7 Alder Lake 12650H 3.5 GHz,16Gb (2x8Gb) DDR4 3200,2,512GB SSD M.2 NVMe PCIe,Nvidia GeForce RTX 3050Ti 4Gb GDDR6,15.6inch Full HD,Battery,802.11 ax Wi-Fi 6 + Bluetooth v5.1,"2,25","15.6inch Full HD,359 x 259 x 27.9 mm",Black,Windows 11 Home
Laptop Dell XPS 15 9520 70295790,79990000,https://www.phucanh.vn//may-tinh-xach-tay-dell-xps-15-9520-70295790-core-i9-12900hk-16gb-512gb-ssd-nvidia-geforce-rtx-3050ti-4gb-gddr6-15.6inch-fhd-oled-touch-windows-11-home-office-student-silver-nhom-nguyen-khoi.html,https://phucanhcdn.com/media/product/250_49707_dell_xps_15_9520_intel_silver_a5.jpg,Core i9 Alder Lake 12900HK 3.8 GHz,16Gb DDR4 3200,2,512GB SSD M.2 NVMe PCIe,Nvidia GeForce RTX 3050Ti 4Gb GDDR6,Khoảng 15 inch,Battery,Bluetooth 5.2/Wi-Fi 6 (WiFi 802.11ax)/,"1,92 Kg","Khoảng 15 inch,328 x 246 x 21.9 mm",Silver,Windows 11 Home + Office Student
Laptop Lenovo ThinkPad X1 Carbon Gen 10 21CB009XVN,47790000,https://www.phucanh.vn//may-tinh-xach-tay-lenovo-thinkpad-x1-carbon-gen-10-21cb009xvn.html,https://phucanhcdn.com/media/product/250_49676_lenovo_thinkpad_x1_carbon_gen_10_intel_black_a5.jpg,Core i5 Alder Lake 1240P 3.3 GHz,16Gb (Onboard) DDR5 5200,Không hỗ trợ,512GB SSD M.2 NVMe PCIe 2280,Intel Iris Xe Graphics,14.0inch WUXGA Touch,Battery,"Intel AX211 Wi-Fi 6E, 2x2 + BT5.1","1,12 Kg","14.0inch WUXGA Touch,315 x 222 x 15.36 mm",Black,Windows 11 Pro
Laptop Lenovo ThinkPad T14 GEN 3 21AH00L8FQ,31990000,https://www.phucanh.vn//may-tinh-xach-tay-lenovo-thinkpad-t14-gen-3-21ah00l8fq.html,https://phucanhcdn.com/media/product/250_49674_lenovo_thinkpad_t14_gen_3_black_intel_a8.jpg,Core i5 Alder Lake 1240P 3.3 GHz,8Gb (Onboard) DDR4 3200,1,512GB SSD M.2 NVMe PCIe 2280,Nvidia GeForce MX550 2GB GDDR6,14.0inch WUXGA,Battery,"Intel AX211 Wi-Fi 6E, 2x2 + BT5.1","1,4 Kg","14.0inch WUXGA,328 x 223 x 17.95 mm",Black,Windows 11 Home
Laptop Lenovo ThinkPad T14 GEN 3 21AH008PFQ,30990000,https://www.phucanh.vn//may-tinh-xach-tay-lenovo-thinkpad-t14-gen-3-21ah008pfq.html,https://phucanhcdn.com/media/product/250_49673_lenovo_thinkpad_t14_gen_3_black_intel_a8.jpg,Core i5 Alder Lake 1240P 3.3 GHz,8Gb (Onboard) DDR4 3200,1,512GB SSD M.2 NVMe PCIe 2280,Nvidia GeForce MX550 2GB GDDR6,14.0inch WUXGA,Battery,"Intel AX211 Wi-Fi 6E, 2x2 + BT5.1","1,4 Kg","14.0inch WUXGA,328 x 223 x 17.95 mm",Black,NoOS
Laptop MSI Gaming Cyborg 15 A12VE 240VN,27490000,https://www.phucanh.vn//laptop-msi-cyborg-15-a12ve-240vn.html,https://phucanhcdn.com/media/product/250_50802_laptop_msi_cyborg_15_7.jpg,Core i7 Alder Lake 12650H 3.5 GHz,8Gb DDR5 4800,2,512GB SSD M.2 NVMe PCIe,Nvidia GeForce RTX 4050 6GB GDDR6,15.6inch Full HD,Battery,802.11 ax Wi-Fi 6 + Bluetooth v5.1,"1,98","15.6inch Full HD,359.36 x 250.34 x 21.95~22.9 mm",Black,Windows 11 Home
Laptop MSI Gaming Katana 15 B13VFK 676VN,37990000,https://www.phucanh.vn//laptop-msi-gaming-katana-15-b13vfk-676vn.html,https://phucanhcdn.com/media/product/250_50801_laptop_msi_gaming_katana_15_6.jpg,Core i7 Raptor Lake 13620H 2.2 GHz,16Gb (2x8Gb) DDR5 5200,2,1TB SSD M.2 NVMe PCIe,Nvidia GeForce RTX 4060 8GB GDDR6,15.6inch Full HD,Battery,"Intel Wi-Fi 6 AX201, Bluetooth v5.2","2,25","15.6inch Full HD,359 x 259 x 24.9 mm",Black,Windows 11 Home
Laptop Asus Vivobook A1505VA-L1201W,24990000,https://www.phucanh.vn//laptop-asus-vivobook-a1505va-l1201w.html,https://phucanhcdn.com/media/product/250_50678_laptop_asus_vivobook_a1505va_l1201w_img1.jpg,Core i9 Raptor Lake 13900H 5.4 GHz,16Gb (2x8Gb) DDR5 4800,2,512GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,15.6inch FHD OLED,Battery,Wi-Fi 6(802.11ax)+Bluetooth 5.0 (Dual band) 2*2,"1,8 Kg","15.6inch FHD OLED,359 x 235 x 17.9-17.9 mm",Silver,Windows 11 Home
Laptop Asus Vivobook Pro 16 K6602VV-MX077W,48990000,https://www.phucanh.vn//laptop-asus-vivobook-pro-16-k6602vv-mx077w.html,https://phucanhcdn.com/media/product/250_50677_laptop_asus_vivobook_pro_16_k6602vv_mx077w_7.jpg,Core i9 Raptor Lake 13900H 5.4 GHz,16Gb (2x8Gb) DDR5 4800,1,1TB SSD M.2 NVMe PCIe,Nvidia GeForce RTX 4060 8GB GDDR6,16.0inch 3.2K,Battery,Wi-Fi 6(802.11ax)+Bluetooth 5.0 (Dual band) 2*2,"1,90 Kg","16.0inch 3.2K,35.53 x 25.20 x 1.99 ~ 2.00 cm",Silver,Windows 11 Home
Laptop Asus Vivobook Pro 16 K6602ZC-MX079W,32990000,https://www.phucanh.vn//laptop-asus-vivobook-pro-16-k6602zc-mx079w.html,https://phucanhcdn.com/media/product/250_50676_laptop_asus_vivobook_pro_16_k6602_silver_7.jpg,Core i5 Alder Lake 12450H 3.3 GHz,16Gb (2x8Gb) DDR5 4800,1,512GB SSD M.2 NVMe PCIe,Nvidia GeForce RTX 3050 4Gb GDDR6,16.0inch 3.2K,Battery,Wi-Fi 6(802.11ax)+Bluetooth 5.0 (Dual band) 2*2,"1,90 Kg","16.0inch 3.2K,35.53 x 25.20 x 1.99 ~ 2.00 cm",Silver,Windows 11 Home
Laptop HP EliteBook X360 1040 G9 6Z982PA,49990000,https://www.phucanh.vn//laptop-hp-elitebook-x360-1040-g9-6z982pa.html,https://phucanhcdn.com/media/product/250_50285_laptop_hp_elitebook_x360_1040_g9_6z982pa_8.jpg,Core i7 Alder Lake 1255U 3.5 GHz,16Gb (Onboard) DDR5 4800,Không hỗ trợ,512GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,14.0inch WUXGA Touch,Battery,Wi-Fi6 (2x2) and Bluetooth 5,"1,35 Kg","14.0inch WUXGA Touch,31.56 x 22.56 x 1.92 cm",Silver,Windows 11 Pro
Laptop Acer PREDATOR Helios 16 PH16-71-94N1 NH.QJSSV.002,129990000,https://www.phucanh.vn//may-tinh-xach-tay-acer-predator-helios-16-ph16-71-94n1-nh.qjssv.002.html,https://phucanhcdn.com/media/product/250_50217_acer_predator_helios_16_ph16_71_a.jpg,Core i9 Raptor Lake 13900HX 3.9 GHz,32Gb DDR5 5600,2,1TB SSD M.2 NVMe PCIe,Nvidia GeForce RTX 4080 12GB GDDR6,16.0inch WQXGA,Battery,Killer Wireless Wi-Fi 6E 1675iBluetooth 5.2,4.6 Kg,"16.0inch WQXGA,357 x 278 x 24.9 mm",Black,Windows 11 Home
Máy tính xách tay Apple Macbook Pro 16 MNW93SA/A,65790000,https://www.phucanh.vn//may-tinh-xach-tay-apple-macbook-pro-16-m2-pro-mnw93saa.html,https://phucanhcdn.com/media/product/250_50138_may_tinh_xach_tay_apple_macbook_pro_16_m2_pro_space_gray_1.jpg,M2 Pro 200GB/s,,1,1TB SSD,,Khoảng 16 inch,Battery,"Wi-Fi 6E, Bluetooth 5.3",2.15Kg,"1.68 x 35.57 x 24.81 cm,Khoảng 16 inch",Gray,Mac OS
Máy tính xách tay Apple Macbook Pro 14 MPHJ3SA/A,60790000,https://www.phucanh.vn//may-tinh-xach-tay-apple-macbook-pro-14-m2-pro-mphj3saa.html,https://phucanhcdn.com/media/product/250_50133_may_tinh_xach_tay_apple_macbook_pro_14_m2_pro_silver_1.jpg,M2 Pro 200GB/s,,1,1TB SSD,19 Core GPU,Khoảng 14 inch,Battery,"Wi-Fi 6E, Bluetooth 5.3",1.6Kg,"1.55 x 31.26 x 22.12 cm,Khoảng 14 inch",Silver,Mac OS
Laptop Lenovo Legion Gaming 5 15ARH7 82RD003TVN,33990000,https://www.phucanh.vn//laptop-lenovo-legion-gaming-5-15arh7-82rd003tvn-ryzen-5-6600h-16gb-512gb-ssd-nvidia-geforce-rtx-3060-6gb-gddr6-156inch-full-hd-windows-11-home-storm-grey-aluminium-3-year.html,https://phucanhcdn.com/media/product/250_51389_lenovo_legion_gaming_5_15arh7_amd_a9.jpg,AMD Ryzen 5 6600H 3.3 GHz,16Gb (2x8Gb) DDR5 4800,2,512GB SSD M.2 NVMe PCIe,Nvidia GeForce RTX 3060 6GB GDDR6,15.6inch Full HD,Battery,"Wi-Fi 6 11ax, 2x2 + BT5.1","2,4 Kg","15.6inch Full HD,374.45 x 248.05 x 19.5 mm",Grey,Windows 11 Home
Laptop Acer Gaming Nitro Nitro 17 Phoenix AN17-51-50B9 NH.QK5SV.001,39990000,https://www.phucanh.vn//laptop-acer-gaming-nitro-nitro-17-phoenix-an17-51-50b9-nhqk5sv001-core-i5-13500h-8gb-512gb-ssd-nvidia-geforce-rtx-4050-6gb-gddr6-173inch-full-hd-windows-11-home-black-1-year.html,https://phucanhcdn.com/media/product/250_51360_acer_gaming_nitro_nitro_17_phoenix_an17_51_intel_black_a8.jpg,Core i5 Raptor Lake 13500H 2.6 GHz,8Gb DDR5 4800,2,512GB SSD M.2 NVMe PCIe,Nvidia GeForce RTX 4050 6GB GDDR6,17.3inch Full HD,Battery,KillerTM Wi-Fi 6 AX 1650i/ 10/100/1000 Mbps / Bluetooth 5.1,3.0 Kg,"17.3inch Full HD,400 x 293 x 27.9 mm",Black,Windows 11 Home
Laptop Dell Inspiron 3530 i3U085W11BLU,17990000,https://www.phucanh.vn//laptop-dell-inspiron-3530-i3u085w11blu-core-i3-1305u-8gb-512gb-ssd-intel-uhd-graphics-156inch-full-hd-windows-11-home-office-student-black-vo-nhua-1-year.html,https://phucanhcdn.com/media/product/250_51357_dell_inspiron_3530_intel_black_aa16.jpg,Core i3 Raptor Lake 1305U 3.3 GHz,8Gb DDR4 2666,2,512GB SSD M.2 NVMe PCIe,Intel UHD Graphics,15.6inch Full HD,Battery,802.11ac 1x1 WiFi + Bluetooth 5.2,"1,66 Kg","15.6inch Full HD,358 x 235 x 16.69 mm",Black,Windows 11 Home + Office Student
Laptop Dell Inspiron 3530 I5U085W11BLU,20990000,https://www.phucanh.vn//laptop-dell-inspiron-3530-i5u085w11blu-core-i5-1335u-8gb-512gb-ssd-intel-uhd-graphics-156inch-full-hd-windows-11-home-office-student-black-vo-nhua-1-year.html,https://phucanhcdn.com/media/product/250_51356_dell_inspiron_3530_intel_black_aa16.jpg,Core i5 Raptor Lake 1335U 1.3 GHz,8Gb DDR4 2666,2,512GB SSD M.2 NVMe PCIe,Intel UHD Graphics,15.6inch Full HD,Battery,802.11ac 1x1 WiFi + Bluetooth 5.2,"1,66 Kg","15.6inch Full HD,358 x 235 x 16.69 mm",Black,Windows 11 Home + Office Student
Laptop Acer Aspire Gaming A715 76 57CY NH.QGESV.004,16999000,https://www.phucanh.vn//laptop-acer-aspire-gaming-a715-76-57cy-nhqgesv004-core-i5-12450h-8gb-512gb-ssd-intel-uhd-graphics-156inch-full-hd-windows-11-home-black-1-year.html,https://phucanhcdn.com/media/product/250_51349_acer_aspire_gaming_a715_76g_blacka8.jpg,Core i5 Alder Lake 12450H 3.3 GHz,8Gb DDR4 3200,2,512GB SSD M.2 NVMe PCIe,Intel UHD Graphics,15.6inch Full HD,Battery,Intel Wireless Wi-Fi 6 AX200/ 802.11a/b/g/n/acR2+ax wireless LAN/ Gigabit Ethernet,"2,1 Kg","15.6inch Full HD,364 x 249 x 19.9 mm",Black,Windows 11 Home
Laptop Acer Aspire Gaming A715 76G 5132 NH.QMESV.002,20990000,https://www.phucanh.vn//laptop-acer-aspire-gaming-a715-76g-5132-nhqmesv002-core-i5-12450h-8gb-512gb-ssd-nvidia-geforce-gtx-1650-4gb-gddr6-156inch-full-hd-windows-11-home-black-1-year.html,https://phucanhcdn.com/media/product/250_51348_acer_aspire_gaming_a715_76g_blacka8.jpg,Core i5 Alder Lake 12450H 3.3 GHz,8Gb DDR4 3200,2,512GB SSD M.2 NVMe PCIe,Nvidia GeForce GTX 1650 4GB GDDR6,15.6inch Full HD,Battery,Intel Wireless Wi-Fi 6 AX200/ 802.11a/b/g/n/acR2+ax wireless LAN/ Gigabit Ethernet,"2,1 Kg","15.6inch Full HD,362 x 237 x 19.9 mm",Black,Windows 11 Home
Laptop Dell Vostro 3430 71011900,20990000,https://www.phucanh.vn//laptop-dell-vostro-3420-71003348-core-i5-1335u-8gb-512gb-ssd-intel-iris-xe-graphics-140inch-full-hd-windows-11-home-office-student-titan-grey-1-year.html,https://phucanhcdn.com/media/product/250_51313_dell_vostro_3420_titan_grey_a_8.jpg,Core i5 Raptor Lake 1335U 1.3 GHz,8Gb DDR5 4800,2,512GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,14.0inch Full HD,Battery,802.11ac 1x1 WiFi + Bluetooth 5.2,"1,49 Kg","14.0inch Full HD,321 x 220 x 18.6 mm",Grey,Windows 11 Home + Office Student
Laptop Dell Latitude 5430 I516G512SSDWIN11PRO,33990000,https://www.phucanh.vn//laptop-dell-latitude-5430-i516g512ssdwin11pro-core-i5-1245u-16gb-512gb-ssd-intel-iris-xe-graphics-140inch-full-hd-windows-11-pro-grey-aluminium-3-year.html,https://phucanhcdn.com/media/product/250_51308_laptop_dell_latitude_5430_grey_a5.jpg,Core i5 Alder Lake 12450H 3.3 GHz,16Gb (Onboard) DDR4 3200,2,512GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,14.0inch Full HD,Battery,"Intel AX211 WiFi 6e 2x2 AX, Bluetooth 5.2","1,36 Kg","14.0inch Full HD,321 x 212 x 19.3 mm",Grey,Windows 11 Pro
Laptop Dell Latitude 5430 I58G512SSD,26990000,https://www.phucanh.vn//laptop-dell-latitude-5430-i58g512ssd-core-i5-1245u-8gb-512gb-ssd-intel-iris-xe-graphics-140inch-full-hd-windows-11-home-grey-aluminium-1-year.html,https://phucanhcdn.com/media/product/250_51307_laptop_dell_latitude_5430_grey_a5.jpg,Core i5 Alder Lake 12450H 3.3 GHz,8Gb (Onboard) DDR4 3200,2,512GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,14.0inch Full HD,Battery,"Intel AX211 WiFi 6e 2x2 AX, Bluetooth 5.2","1,36 Kg","14.0inch Full HD,321 x 212 x 19.3 mm",Grey,Windows 11 Home
Laptop Microsoft Surface Pro 9,40290000,https://www.phucanh.vn//laptop-microsoft-surface-pro-9-core-i7-1265u-16gb-256gb-130inch-touch-windows-11-home-platinum.html,https://phucanhcdn.com/media/product/250_51302_laptop_microsoft_surface_pro_9_platinum_3.jpg,Core i7 Alder Lake 1265U 3.6 GHz,,,256GB SSD,Intel Iris Xe Graphics,Khoảng 13 inch,Battery,"Wi-Fi 6, Bluetooth 5.1",0.879Kg,"Khoảng 13 inch,287x208x9.3mm",Platinum,Windows 11 Home
Laptop LG Gram 2023 16Z90R-E.AH75A5,49990000,https://www.phucanh.vn//laptop-lg-gram-2023-16z90r-e.ah75a5.html,https://phucanhcdn.com/media/product/250_51087_laptop_lg_gram_2023_16z90r_e_ah75a5_8.jpg,Core i7 Raptor Lake 1360P 2.2 GHz,16Gb (Onboard) DDR5 6000,Không hỗ trợ,512GB SSD M.2 NVMe PCIe 2280,Nvidia GeForce RTX 3050 4Gb GDDR6,16.0inch WQXGA,Battery,"Intel Wireless-AX211 (802.11ax, 2x2, Dual Band, BT Combo)",1199 gram,"16.0inch WQXGA,35.51 cm x 24.23 cm x 1.68 cm",Black,Windows 11 Home
Laptop LG Gram 2023 14Z90RS-G.AH54A5,38990000,https://www.phucanh.vn//laptop-lg-gram-2023-14z90rs-g.ah54a5.html,https://phucanhcdn.com/media/product/250_51086_laptop_lg_gram_2023_14z90rs_g_ah54a5_8.jpg,Core i5 Raptor Lake 1340P 1.9 GHz,16Gb (Onboard) DDR5 6000,Không hỗ trợ,512GB SSD M.2 NVMe PCIe 2280,Intel Iris Xe Graphics,14.0inch WQXGA,Battery,"Intel Wireless-AX211 (802.11ax, 2x2, Dual Band, BT Combo)",999 gram,"14.0inch WQXGA,31.2 cm x 21.39 cm x 1.68  cm",White,Windows 11 Home
