Name,Price,URL,ImgURL,CPU,Ram,Ram_slot,Storage,Graphics,Display,Battery,Wireless,Weight,Size,Color,OS
Laptop MSI Gaming Katana GF66 12UCK 815VN,24990000,https://www.phucanh.vn//may-tinh-xach-tay-msi-gaming-katana-gf66-12uck-815vn-core-i5-12450h-8gb-512gb-ssd-nvidia-geforce-rtx-3050-4gb-gddr6-156inch-full-hd-windows-11-home-black-vo-nhua-balo.html,https://phucanhcdn.com/media/product/250_50478_msi_gaming_katana_gf66_a6.jpg,Core i5 Alder Lake 12450H 3.3 GHz,8Gb,2,512GB SSD M.2 NVMe PCIe,Nvidia GeForce RTX 3050 4Gb GDDR6,15.6inch Full HD,Battery,802.11 ax Wi-Fi 6 + Bluetooth v5.1,"2,25","15.6inch Full HD,359 x 259 x 27.9 mm",Black,Windows 11 Home
Laptop Asus Vivobook Pro 15 K6502VU-MA089W,37990000,https://www.phucanh.vn//laptop-asus-vivobook-pro-15-k6502vu-ma089w.html,https://phucanhcdn.com/media/product/250_50675_laptop_asus_vivobook_pro_15_silver_8.jpg,Core i5 Raptor Lake 13500H 2.6 GHz,16Gb (2x8Gb) DDR5 4800,1,512GB SSD M.2 NVMe PCIe,Nvidia GeForce RTX 4050 6GB GDDR6,15.6inch 2.8K,Battery,Wi-Fi 6(802.11ax)+Bluetooth 5.0 (Dual band) 2*2,"1,80 Kg","15.6inch 2.8K,35.63 x 23.53 x 1.99 ~ 2.00 cm",Silver,Windows 11 Home
Laptop HP 15s fq5160TU 7C0S1PA,19990000,https://www.phucanh.vn//laptop-hp-15s-fq5160tu-7c0s1pa.html,https://phucanhcdn.com/media/product/250_50231_laptop_hp_15s_fq5160tu_7c0s1pa_6.jpg,Core i5 Alder Lake 1235U 1.3 GHz,16Gb (2x8Gb) DDR4 3200,2,512GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,15.6inch Full HD,Battery,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi and Bluetooth 5 combo,"1,69","15.6inch Full HD,35.85 x 24.2 x 1.79 cm",Bạc,Windows 11 Home
Laptop HP 15s fq5159TU 7C0S0PA,20590000,https://www.phucanh.vn//laptop-hp-15s-fq5159tu-7c0s0pa.html,https://phucanhcdn.com/media/product/250_50230_laptop_hp_15s_fq5159tu_7c0s0pa_6.jpg,Core i7 Alder Lake 1255U 3.5 GHz,8Gb (2x4Gb) DDR4 3200,2,256GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,15.6inch Full HD,Battery,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi and Bluetooth 5 combo,"1,69","15.6inch Full HD,35.85 x 24.2 x 1.79 cm",Bạc,Windows 11 Home
Laptop HP 15s fq5146TU 7C0R9PA,21590000,https://www.phucanh.vn//laptop-hp-15s-fq5146tu-7c0r9pa.html,https://phucanhcdn.com/media/product/250_50229_laptop_hp_15s_fq5146tu_7c0r9pa_5.jpg,Core i7 Alder Lake 1255U 3.5 GHz,8Gb (2x4Gb) DDR4 3200,2,512GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,15.6inch Full HD,Battery,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi and Bluetooth 5 combo,"1,69","15.6inch Full HD,35.85 x 24.2 x 1.79 cm",Blue,Windows 11 Home
Laptop Acer PREDATOR Helios 18 PH18-71-94SJ NH.QKRSV.002,127990000,https://www.phucanh.vn//may-tinh-xach-tay-acer-predator-helios-18-ph18-71-94sj-nh.qkrsv.002.html,https://phucanhcdn.com/media/product/250_50216_acer_predator_helios_18_ph18_71_black_a1.jpg,Core i9 Raptor Lake 13900HX 3.9 GHz,32Gb DDR5 5600,2,1TB SSD M.2 NVMe PCIe,Nvidia GeForce RTX 4080 12GB GDDR6,18.0inch WQXGA,Battery,Killer Wireless Wi-Fi 6E 1675iBluetooth 5.2,4.6 Kg,"18.0inch WQXGA,357 x 278 x 24.9 mm",Black,Windows 11 Home
Laptop Asus Zenbook Flip 14 OLED UP5401ZA-KU140W,36990000,https://www.phucanh.vn//laptop-asus-zenbook-flip-14-oled-up5401za-ku140w.html,https://phucanhcdn.com/media/product/250_50190_laptop_asus_zenbook_flip_14_oled_up5401za_ku140w_6.jpg,Core i7 Alder Lake 12700H 3.5 GHz,16Gb (Onboard) DDR5 4800,Không hỗ trợ,1TB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,Khoảng 14 inch,Battery,Wi-Fi 6E(802.11ax) (Dual band) 2*2 + Bluetooth 5.2,"1,4 Kg","Khoảng 14 inch,311 x 223 x 15.9-15.9 mm",Grey,Windows 11 Home
Laptop Asus TUF Gaming FX517ZR-HN086W,42990000,https://www.phucanh.vn//laptop-asus-tuf-gaming-fx517zr-hn086w.html,https://phucanhcdn.com/media/product/250_50188_laptop_asus_tuf_gaming_fx517zr_hn086w_5.jpg,Core i7 Alder Lake 12650H 3.5 GHz,8Gb DDR5 4800,2,512GB SSD M.2 NVMe PCIe,Nvidia GeForce RTX 3070 8GB GDDR6,15.6inch Full HD,Battery,Wi-Fi 6(802.11ax)+Bluetooth 5.2 (Dual band) 2*2,2 Kg,"15.6inch Full HD,354 x 251 x 19.9-20.7 mm",Black,Windows 11 Home
Laptop Asus TUF Gaming FX506HM-HN366W,31990000,https://www.phucanh.vn//may-tinh-xach-tay-asus-tuf-gaming-fx506hm-hn366w-core-i7-11800h-8gb-512gb-ssd-nvidia-geforce-rtx-3060-6gb-gddr6-156inch-full-hd-windows-11-home-black-vo-nhua.html,https://phucanhcdn.com/media/product/250_50186_may_tinh_xach_tay_asus_tuf_gaming_fx506hm_hn366w_8.jpg,Core i7 Tiger Lake 11800H 2.3 GHz,8Gb DDR4 3200,2,512GB SSD M.2 NVMe PCIe,Nvidia GeForce RTX 3060 6GB GDDR6,15.6inch Full HD,Battery,Intel Wi-Fi 6(Gig+)(802.11ax),"2,2 Kg","15.6inch Full HD,359.8 x 256 x 22.8 mm",Black,Windows 11 Home
Máy tính xách tay Apple Macbook Pro 16 MNWE3SA/A,85690000,https://www.phucanh.vn//may-tinh-xach-tay-apple-macbook-pro-16-m2-max-mnwe3saa.html,https://phucanhcdn.com/media/product/250_50141_may_tinh_xach_tay_apple_macbook_pro_16_m2_pro_silver_1.jpg,M2 Max 400GB/s,32Gb,1,1TB SSD,,Khoảng 16 inch,Battery,"Wi-Fi 6E, Bluetooth 5.3",2.16Kg,"1.68 x 35.57 x 24.81 cm,Khoảng 16 inch",Silver,Mac OS
Máy tính xách tay Apple Macbook Pro 16 MNWA3SA/A,85690000,https://www.phucanh.vn//may-tinh-xach-tay-apple-macbook-pro-16-m2-max-mnwa3saa.html,https://phucanhcdn.com/media/product/250_50140_may_tinh_xach_tay_apple_macbook_pro_16_m2_pro_space_gray_1.jpg,M2 Max 400GB/s,32Gb,1,1TB SSD,,Khoảng 16 inch,Battery,"Wi-Fi 6E, Bluetooth 5.3",2.16Kg,"1.68 x 35.57 x 24.81 cm,Khoảng 16 inch",Gray,Mac OS
Máy tính xách tay Apple Macbook Pro 16 MNWD3SA/A,65790000,https://www.phucanh.vn//may-tinh-xach-tay-apple-macbook-pro-16-m2-pro-mnwd3saa.html,https://phucanhcdn.com/media/product/250_50139_may_tinh_xach_tay_apple_macbook_pro_16_m2_pro_silver_1.jpg,M2 Pro 200GB/s,,1,1TB SSD,,Khoảng 16 inch,Battery,"Wi-Fi 6E, Bluetooth 5.3",2.15Kg,"1.68 x 35.57 x 24.81 cm,Khoảng 16 inch",Silver,Mac OS
