Battery,CPU,CPU_code,CPU_speed,Color,Display,Graphics,ImgURL,Name,Num_cores,Num_thread,OS,Ports,Price,Ram,Ram_slot,Ram_speed,Ram_type,Resolutions,Size,Storage,Storage_drive,Storage_type,URL,Weight,Wireless
: 1x Headphone / microphone combo jack (3.5mm),: Core i5 Alder Lake,: 1235U,: 1.3 GHz,: Abyss Blue,: 14.0inch Full HD,: Intel UHD Graphics,https://phucanhcdn.com/media/product/250_51457_laptop_lenovo_ideapad_slim_3_14iau7_intel_abyss_blue_a5.jpg,"Laptop Lenovo IdeaPad Slim 3 14IAU7 82RJ001DVN (Core i5 1235U/ 8GB/ 512GB SSD/ Intel UHD Graphics/ 14.0inch Full HD/ Windows 11 Home/ Abyss Blue/ PC + ABS (Top), PC + ABS (Bottom)/ 2 Year)",: 10 Cores,: 12 Threads,: Windows 11 Home,": 1x USB 2.01x USB 3.2 Gen 11x USB-C® 3.2 Gen 1 (support data transfer, Power Delivery 3.0 and DisplayPort™ 1.2)1x HDMI® 1.4b1x Card reader1x Headphone / microphone combo jack (3.5mm)1x Power connector",17.990.000 ₫,: 8Gb (Onboard),: 1,: 3200,: DDR4,: Full HD (1920x1080) ,": 14.0inch Full HD,: 324.2 x 215.7 x 19.9 mm",: 512GB,: M.2 NVMe PCIe,: SSD,https://www.phucanh.vn//laptop-lenovo-ideapad-slim-3-14iau7-82rj001dvn-core-i5-1235u-8gb-512gb-ssd-intel-uhd-graphics-140inch-full-hd-windows-11-home-abyss-blue-pc-abs-top-pc-abs-bottom-2-year.html,": 1,63 Kg",": 11ac, 2x2 + BT5.0"
: 3cell,: Core i3 Raptor Lake,: 1315U,: 1.2 GHz,: Bạc,: 14.0inch Full HD,: Intel UHD Graphics,https://phucanhcdn.com/media/product/250_51043_may_tinh_xach_tay_asus_vivobook_x1404va_11.jpg,Laptop Asus Vivobook X1404VA-NK124W (Core i3 1315U/ 8GB/ 256GB SSD/ Intel UHD Graphics/ 14.0inch Full HD/ Windows 11 Home/ Bạc/ Vỏ nhựa),: 6 Cores,: 8 Threads,: Windows 11 Home,: 2x USB 3.2 Gen 1 Type-A/1x USB 3.2 Gen 1 Type-C/1x USB 2.0 Type-A,13.290.000 ₫,: 8Gb (Onboard),: 1,: 3200,: DDR4,: Full HD (1920x1080) ,": 14.0inch Full HD,: 32.49 x 21.39 x 1.99 ~ 1.99 cm",: 256GB,: ,: SSD,https://www.phucanh.vn//may-tinh-xach-tay-asus-vivobook-x1404va-nk124w.html,": 1,4kg",: Wi-Fi 6(802.11ax)+Bluetooth 5.0 (Dual band) 2*2
: 3cell,: AMD Ryzen 5,: 7520U,: 2.8 GHz,: Bạc,: 14.0inch Full HD,: AMD Radeon Graphics,https://phucanhcdn.com/media/product/250_51711_laptop_asus_vivobook_go_14_e1404fa_6.jpg,Laptop Asus Vivobook Go 14 E1404FA-NK177W (Ryzen 5 7520U/ 16GB/ 512GB SSD/ AMD Radeon Graphics/ 14.0inch Full HD/ Windows 11 Home/ Bạc/ Vỏ nhựa),: 4 Cores,: 8 Threads,: Windows 11 Home,: 1x USB 2.0 Type-A1x USB 3.2 Gen 1 Type-A1x USB 3.2 Gen 1 Type-C1x HDMI 1.41x 3.5mm Combo Audio Jack1x DC-in,14.290.000 ₫,: 16Gb (Onboard),: Không hỗ trợ,: 4800,: DDR5,: Full HD (1920x1080) ,": 14.0inch Full HD,: 32.45 x 21.39 x 1.79 ~ 1.79 cm",: 512GB,: M.2 NVMe PCIe,: SSD,https://www.phucanh.vn//laptop-asus-vivobook-go-14-e1404fa-nk177w.html,": 1,4kg",: Wi-Fi 6E(802.11ax) (Dual band) 1*1 + Bluetooth® 5.3 Wireless Card
: 4 cell,: Core i5 Tiger Lake,: 11300H,: 3.1 GHz,: Light Silver,: 14.0inch 2.8K,: Intel Iris Xe Graphics,https://phucanhcdn.com/media/product/250_51712_laptop_lenovo_yoga_slim_7_pro_14ihu5_o_a5.jpg,Laptop Lenovo Yoga Slim 7 Pro 14IHU5 O 82NH00AFVN (Core i5 11300H/ 16GB/ 512GB SSD/ Intel Iris Xe Graphics/ 14.0inch 2.8K/ Windows 11 Home/ Light Silver/ Vỏ nhôm),: 4,: 8,: Windows 11 Home,": 1x USB 3.2 Gen 1 (Always On)1x Headphone / microphone combo jack (3.5mm)2x Thunderbolt™ 4 (support data transfer, Power Delivery 3.0 and DisplayPort™ 1.4)",26.990.000 ₫,: 16Gb (Onboard),: Không hỗ trợ,: 3200,: DDR4,: 2.8K (2880x1800),": 14.0inch 2.8K,: 315 x 221.6 x 14.9 mm",: 512GB,: M.2 NVMe PCIe,: SSD,https://www.phucanh.vn//laptop-lenovo-yoga-slim-7-pro-14ihu5-o-82nh00afvn-core-i5-11300h-16gb-512gb-ssd-intel-iris-xe-graphics-14-0inch-2-8k-windows-11-home-light-silver-vo-nhom.html,": 1,38 Kg",": Wi-Fi 6 - 802.11ax, Bluetooth v5.0"
: 3 cell,: Core i5 Alder Lake,: 1235U,: 1.3 GHz,: Silver,: 14.0inch Full HD,: Intel Iris Xe Graphics,https://phucanhcdn.com/media/product/250_51714_laptop_hp_14s_5.jpg,Laptop HP 14s-dq5100TU 7C0Q0PA (Core i5 1235U/ 8GB/ 256GB SSD/ Intel Iris Xe Graphics/ 14.0inch Full HD/ Windows 11 Home/ Silver/ Vỏ nhựa),: 10 Cores,: 12 Threads,: Windows 11 Home,: 1 SuperSpeed USB Type-C 5Gbps signaling rate; 2 SuperSpeed USB Type-A 5Gbps signaling rate; 1 HDMI 1.4b; 1 AC smart pin; 1 headphone/microphone combo,14.990.000 ₫,: 8Gb (2x4Gb),: 2,: 3200,: DDR4,: Full HD (1920x1080) ,": 14.0inch Full HD,: 322.8 x 212.2 x 15.9 mm",: 256GB,: M.2 NVMe PCIe,: SSD,https://www.phucanh.vn//laptop-hp-14s-dq5100tu-7c0q0pa.html,": 1,46 Kg",: Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi® and Bluetooth® 5 combo
: 3 cell,: Core i3 Raptor Lake,: 1305U,: 3.3 GHz,: Grey,: 15.6inch Full HD,: Intel UHD Graphics,https://phucanhcdn.com/media/product/250_51715_laptop_dell_vostro_3530_intel_gray_a6.jpg,Laptop Dell Vostro 3530 V5I3001W1 (Core i3 1305U/ 8GB/ 256GB SSD/ Intel UHD Graphics/ 15.6inch Full HD/ Windows 11 Home + Office Student/ Grey/ Vỏ nhựa/ 1 Year),: 4 Cores,: 6 Threads,: Windows 11 Home + Office Student,: 1 USB 3.2 Gen 1 port1 USB 2.0 port1 USB 3.2 Gen 1 Type-C® port1 USB 3.2 Gen 1 Type-C® port with DisplayPort Alt Mode 1.4/Power Delivery (only for computers with aluminum chassis or NVIDIA® GeForce MX550 graphics card)1 Universal audio port1 HDMI 1.4 port,Liên hệ,: 8Gb,: 2,: 3200,: DDR4,: Full HD (1920x1080) ,": 15.6inch Full HD,: 358 x 235 x 16.69 mm",: 256GB,: M.2 NVMe PCIe,: SSD,https://www.phucanh.vn//laptop-dell-vostro-3530-v5i3001w1-core-i3-1305u-8gb-256gb-ssd-intel-uhd-graphics-15-6inch-full-hd-windows-11-home-office-student-grey-vo-nhua-1-year.html,": 1,66 Kg",: 802.11ac 1x1 WiFi + Bluetooth 5.2
: 4 cell,: Core i7 Raptor Lake,: 1360P,: 2.2 GHz,: Grey,: Khoảng 16 inch,: Nvidia GeForce RTX 2050 4GB GDDR6,https://phucanhcdn.com/media/product/250_51716_dell_vostro_5630_intel_grey_a7.jpg,Laptop Dell Vostro 5630 THT7N (Core i7 1360P/ 16GB/ 512GB SSD/ Nvidia GeForce RTX 2050 4GB GDDR6/ 16.1inch FHD+/ Windows 11 Home + Office Student/ Grey/ Vỏ nhôm/ 1 Year),: 12 Cores,: 16 Threads,: Windows 11 Home + Office Student,": 1 x HDMI, 2 x USB 3.2 , 1 x Thunderbolt 4 , 1 x SD card slot , Audio combo , LAN 1 Gb/s",Liên hệ,: 16Gb (Onboard),: Không hỗ trợ,: 4800,: DDR5,: WUXGA (1920x1200) ,": Khoảng 16 inch,: 356 x 251 x 17.9 mm",: 512GB,: M.2 NVMe PCIe,: SSD,https://www.phucanh.vn//laptop-dell-vostro-5630-tht7n-core-i7-1360p-16gb-512gb-ssd-nvidia-geforce-rtx-2050-4gb-gddr6-16-1inch-fhd-windows-11-home-office-student-grey-vo-nhom-1-year.html,": 1,8 Kg",: 802.11ax 2x2 WiFi and Bluetooth 5.2
: 4 cell,: Core i7 Raptor Lake,: 1355U,: 1.7 GHz,: Silver,: 14.0inch Full HD+,: Intel Iris Xe Graphics,https://phucanhcdn.com/media/product/250_51717_dell_inspiron_14_5430_intel_silver_a8.jpg,Laptop Dell Inspiron 5430 20DY3 (Core i7 1355U/ 16GB/ 512GB SSD/ Intel Iris Xe Graphics/ 14.0inch Full HD+/ Windows 11 Home + Office Student/ Silver/ Vỏ nhôm/ 1 Year),: 10 Cores,: 12 Threads,: Windows 11 Home + Office Student,: 1 headset port;1 HDMI 1.4 port;2 USB 3.2 Gen 1 ports;1 USB Type-C Thunderbolt 4.0 port with DisplayPort1 SD-card slot,Liên hệ,: 16Gb (Onboard),: 1,: 4800,: DDR5,: WUXGA (1920x1200) ,": 14.0inch Full HD+,: 314 x 226 x 16.49 mm",: 512GB,: M.2 NVMe PCIe,: SSD,https://www.phucanh.vn//laptop-dell-inspiron-5430-20dy3-core-i7-1355u-16gb-512gb-ssd-intel-iris-xe-graphics-14-0inch-full-hd-windows-11-home-office-student-silver-vo-nhom-1-year.html,": 1,69 Kg",: 802.11ax 2x2 WiFi and Bluetooth 5.2
: 3 cell,: Core i7 Raptor Lake,: 1355U,: 1.7 GHz,: Grey,: 15.6inch Full HD,: Nvidia GeForce MX550 2GB GDDR6,https://phucanhcdn.com/media/product/250_51718_dell_vostro_15_3530_80gg91__a5.jpg,Laptop Dell Vostro 3530 80GG91 (Core i7 1355U/ 16GB/ 512GB SSD/ Nvidia GeForce MX550 2GB GDDR6/ 15.6inch Full HD/ Windows 11 Home + Office Student/ Grey/ Vỏ nhựa/ 1 Year),: 10 Cores,: 12 Threads,: Windows 11 Home + Office Student,: 1 USB 3.2 Gen 1 port1 USB 2.0 port1 USB 3.2 Gen 1 Type-C® port1 USB 3.2 Gen 1 Type-C® port with DisplayPort Alt Mode 1.4/Power Delivery (only for computers with aluminum chassis or NVIDIA® GeForce MX550 graphics card)1 Universal audio port1 HDMI 1.4 port,Liên hệ,: 16Gb,: 2,: 3200,: DDR4,: Full HD (1920x1080) ,": 15.6inch Full HD,: 358 x 235 x 16.69 mm",: 512GB,: M.2 NVMe PCIe,: SSD,https://www.phucanh.vn//laptop-dell-vostro-3530-80gg91-core-i7-1355u-16gb-512gb-ssd-nvidia-geforce-mx550-2gb-gddr6-15-6inch-full-hd-windows-11-home-office-student-grey-vo-nhua-1-year.html,": 1,66 Kg",: 802.11ac 1x1 WiFi + Bluetooth 5.2
: 3 cell,: Core i5 Raptor Lake,: 1335U,: 1.3 GHz,: Grey,: 15.6inch Full HD,: Intel UHD Graphics,https://phucanhcdn.com/media/product/250_51719_dell_vostro_15_3530_80gg91__a5.jpg,Laptop Dell Vostro 3530 80GG9 (Core i5 1335U/ 8GB/ 512GB SSD/ Intel UHD Graphics/ 15.6inch Full HD/ Windows 11 Home + Office Student/ Grey/ Vỏ nhựa/ 1 Year),: 10 Cores,: 12 Threads,: Windows 11 Home + Office Student,: 1 USB 3.2 Gen 1 port1 USB 2.0 port1 USB 3.2 Gen 1 Type-C® port1 USB 3.2 Gen 1 Type-C® port with DisplayPort Alt Mode 1.4/Power Delivery (only for computers with aluminum chassis or NVIDIA® GeForce MX550 graphics card)1 Universal audio port1 HDMI 1.4 port,Liên hệ,: 8Gb,: 2,: 3200,: DDR4,: Full HD (1920x1080) ,": 15.6inch Full HD,: 358 x 235 x 16.69 mm",: 512GB,: M.2 NVMe PCIe,: SSD,https://www.phucanh.vn//laptop-dell-vostro-3530-80gg9-core-i5-1335u-8gb-512gb-ssd-intel-uhd-graphics-15-6inch-full-hd-windows-11-home-office-student-grey-vo-nhua-1-year.html,": 1,66 Kg",: 802.11ac 1x1 WiFi + Bluetooth 5.2
: 3 cell,: AMD Ryzen 5,: 5625U,: 2.3 GHz,: Black,: 15.6inch Full HD,: AMD Radeon Graphics,https://phucanhcdn.com/media/product/250_51721_laptop_lenovo_thinkpad_e15__gen_4_intel_black_a3.jpg,Laptop Lenovo ThinkPad E15 GEN 4 21ED007BFQ (Ryzen 5 5625U/ 8GB/ 256GB SSD/ AMD Radeon Graphics/ 15.6inch Full HD/ NoOS/ Black/ Aluminium/ 2 Year),: 6,: 12,: NoOS,": 1x USB 2.01x USB 3.2 Gen 1 (Always On)1x Thunderbolt 4 / USB 4 40Gbps (support data transfer, Power Delivery 3.0, and DisplayPort 1.4)1x HDMI, up to 4K/60Hz1x Ethernet (RJ-45)1x Headphone / microphone combo jack (3.5mm)",Liên hệ,: 8Gb (Onboard),: 1,: 3200,: DDR4,: Full HD (1920x1080) ,": 15.6inch Full HD,: 324 x 220 x 17.9 mm",: 256GB,: M.2 NVMe PCIe 2242,: SSD,https://www.phucanh.vn//laptop-lenovo-thinkpad-e15-gen-4-21ed007bfq-ryzen-5-5625u-8gb-256gb-ssd-amd-radeon-graphics-15-6inch-full-hd-noos-black-aluminium-2-year.html,": 1,64 Kg",": Wi-Fi 6E 11ax, 2x2 + BT5.1"
: 3 cell,: Core i5 Tiger Lake,: 1135G7,: 2.4 GHz ,: Bạc,: 15.6inch Full HD,: Intel Iris Xe Graphics,https://phucanhcdn.com/media/product/250_51722_acer_aspire_3_a315_58_529v_nx_addsv_00n_a.jpg,Laptop Acer Aspire A315 58 529V NX.ADDSV.00N (Core i5 1135G7/ 8GB/ 256GB SSD/ Intel Iris Xe Graphics/ 15.6inch Full HD/ Windows 11 Home/ Bạc/ 1 Year),: 4,: 8,: Windows 11 Home,": 1 x USB 2.0 port/ 1 x HDMI2.0 port with HDCP support/ 3.5 mm headphone/speaker jack, supporting headsets with built-in",Liên hệ,: 8Gb,: 1,: 3200,: DDR4,: Full HD (1920x1080) ,": 15.6inch Full HD,: 363.4 x 255 x 23.9 mm",: 256GB,: M.2 NVMe PCIe,: SSD,https://www.phucanh.vn//laptop-acer-aspire-a315-58-529v-nx-addsv-00n-core-i5-1135g7-8gb-256gb-ssd-intel-iris-xe-graphics-15-6inch-full-hd-windows-11-home-bac-1-year.html,": 1,7 Kg",: 802.11a/b/g/n/ac wireless LAN/ Bluetooth 4.2
,,,,,,,https://phucanhcdn.com/media/product/250_46019_expertbook_b5302f_ha2.jpg,Laptop Asus Expertbook B5302CEA-KG0749W (i5-1135G7/ 8GB/ 512GB SSD/ 13.3FHD Touch OLED/ VGA ON/ Win11/ Black/ NUM_PAD/ LED_KB/ Tui/ Chuột/ Bút),,,,,26.990.000 ₫,,,,,,,,,,https://www.phucanh.vn//laptop-asus-expertbook-b5302cea-kg0749w.html,,
: Hãng không công bố,: ,: M2,: 100GB/s,: Silver,: Khoảng 13 inch,: ,https://phucanhcdn.com/media/product/250_47938_,Máy tính xách tay Apple Macbook Pro 13 Z16U00034 (M2 8-core CPU/ 16Gb/ 512GB/ 10 core GPU/ Silver),: 8 Cores,,: Mac OS,": 2 x Thunderbolt / USB 4, 3.5 mm headphone",39.190.000 ₫,,: 1,,,: 2K,": 1.56 x 30.41 x 21.24 cm,: Khoảng 13 inch",: 512GB,: ,: SSD,https://www.phucanh.vn//laptop-apple-macbook-pro-m2-10gpu-16gb-512gb-silver-z16t0003x.html,: 1.4Kg,": Wi-Fi 6, Bluetooth 5.0"
: 80Wh,: Core i7 Raptor Lake,: 1360P,: 2.2 GHz,: Black,: 17.0inch WQXGA,: Intel Iris Xe Graphics,https://phucanhcdn.com/media/product/250_51074_lg_gram_2023_17z90r_g_ah78a5.jpg,Laptop LG Gram 2023 17Z90R-G.AH78A5 (Core i7 1360P/ 16GB/ 1TB SSD/ Intel Iris Xe Graphics/ 17.0inch WQXGA/ Windows 11 Home/ Black),: 12 Cores,: 16 Threads,: Windows 11 Home,": USB 4 Gen3 x2 Type C (x2, có Power Delivery, Display Port, Thunderbolt 4), USB 3.2 Gen2 x1 (x2), HDMI",50.990.000 ₫,: 16Gb (Onboard),: Không hỗ trợ,: 6000,: DDR5,: WQXGA (2560x1600) ,": 17.0inch WQXGA,: 37.88 cm x 25.88 cm x 1.78 cm",: 1TB,: M.2 NVMe PCIe 2280,: SSD,https://www.phucanh.vn//laptop-lg-gram-2023-17z90r-g.ah78a5.html,: 1350 gram,": Intel® Wireless-AX211 (802.11ax, 2x2, Dual Band, BT Combo)"
: 4 cell,: Core i7 Alder Lake,: 12700H,: 3.5 GHz,: Xám,: 16.1inch QHD+ Touch screen,: Nvidia GeForce RTX 3060 6GB GDDR6,https://phucanhcdn.com/media/product/250_51072_laptop_msi_creator_z16p_4.jpg,Laptop MSI Creator Z16 A12UET-025VN (Core i7 12700H/ 16GB/ 1TB SSD/ Nvidia GeForce RTX 3060 6GB GDDR6/ 16.1inch QHD+ Touch screen/ Windows 11 Home/ Xám/ Vỏ nhôm/ Túi),: 14,: 20,: Windows 11 Home,: 1x Đầu đọc thẻ Micro SD2x Type-A USB3.2 Gen22x Type-C (USB / DP / Thunderbolt™ 4),60.990.000 ₫,: 16Gb (2x8Gb),: 2,: 4800,: DDR5,: QHD (2560x1600),": 16.1inch QHD+ Touch screen,: 359 x 256 x 15.9 mm",: 1TB,: M.2 NVMe PCIe,: SSD,https://www.phucanh.vn//laptop-msi-creator-z16-a12uet-025vn.html,": 2,2 Kg",: Intel® Killer™ Wi-Fi 6E AX1675
: 4 cell,: Core i7 Alder Lake,: 12700H,: 3.5 GHz,: Xám,: 16.1inch QHD+ Touch screen,: Nvidia GeForce RTX 3070Ti 8GB DDR6,https://phucanhcdn.com/media/product/250_51071_laptop_msi_creator_z16p_4.jpg,Laptop MSI Creator Z16P B12UGST-044VN (Core i7 12700H/ 32GB/ 2TB SSD/ Nvidia GeForce RTX 3070Ti 8GB DDR6/ 16.1inch QHD+ Touch screen/ Windows 11 Home/ Xám/ Vỏ nhôm/ Túi/ Chuột),: 14,: 20,: Windows 11 Home,: 1x Đầu đọc thẻ Micro SD2x Type-A USB3.2 Gen22x Type-C (USB / DP / Thunderbolt™ 4),79.990.000 ₫,: 32Gb (2x16Gb),: 2,: 4800,: DDR5,: QHD (2560x1600),": 16.1inch QHD+ Touch screen,: 359 x 256 x 15.9 mm",: 2TB,: M.2 NVMe PCIe,: SSD,https://www.phucanh.vn//laptop-msi-creator-z16p-b12ugst-044vn.html,": 2,2 Kg",: Intel® Killer™ Wi-Fi 6E AX1675
: 4 cell,: Core i9 Alder Lake,: 12900HK,: 3.8 GHz,: Xám,: 17.0inch QHD+ Touch screen,: Nvidia GeForce RTX 3070Ti 8GB DDR6,https://phucanhcdn.com/media/product/250_51070_laptop_msi_creator_z17_a12ugs_6.jpg,Laptop MSI Creator Z17 A12UGS-051VN (Core i9 12900HK/ 32GB/ 1TB SSD/ Nvidia GeForce RTX 3070Ti 8GB DDR6/ 17.0inch QHD+ Touch screen/ Windows 11 Home/ Xám/ Vỏ nhôm/ Túi/ Chuột),: 14,: 20,: Windows 11 Home,: 1x Type-C (USB / DP / Thunderbolt™ 4) with PD charging1x Type-C (USB / DP / Thunderbolt™ 4)1x Type-A USB3.2 Gen21x SD Express Card Reader1x HDMI™ 2.1 (8K @ 60Hz / 4K @ 120Hz),85.990.000 ₫,: 32Gb (2x16Gb),: 2,: 4800,: DDR5,: QHD (2560x1600),": 17.0inch QHD+ Touch screen,: 382 x 260 x 19 mm",: 1TB,: M.2 NVMe PCIe,: SSD,https://www.phucanh.vn//laptop-msi-creator-z17-a12ugs-051vn.html,": 2,49 Kg",: Killer ax Wi-Fi 6E + Bluetooth v5.2
: 3 cell,: AMD Ryzen 5,: 7530U,: 2.0 GHz,: Black,: 14.0inch Full HD,: Intel UHD Graphics,https://phucanhcdn.com/media/product/250_51067_laptop_msi_modern_14_c7m_7.jpg,Laptop MSI Modern 14 C7M-083VN (Ryzen 5 7530U/ 8GB/ 512GB SSD/ Intel UHD Graphics/ 14.0inch Full HD/ Windows 11 Home/ Black),: 6,: 12,: Windows 11 Home,: 2x Type-A USB2.0; 1x Micro SD; 1x (4K @ 30Hz) HDMI; 1x Type-C USB3.2 Gen2,13.990.000 ₫,: 8Gb (Onboard),: Không hỗ trợ,: 3200,: DDR4,: Full HD (1920x1080) ,": 14.0inch Full HD,: 324.2 x 237.7 x 18 mm",: 512GB,: M.2 NVMe PCIe,: SSD,https://www.phucanh.vn//laptop-msi-modern-14-c7m-083vn.html,": 1,3 Kg",: 802.11 ac Wi-Fi + Bluetooth v5
: 3 cell,: AMD Ryzen 5,: 7530U,: 2.0 GHz,: Black,: 15.6inch Full HD,: AMD Radeon Graphics,https://phucanhcdn.com/media/product/250_51066_may_tinh_xach_tay_msi_modern_15_7.jpg,Laptop MSI Modern 15 B7M-099VN (Ryzen 5 7530U/ 8GB/ 512GB SSD/ AMD Radeon Graphics/ 15.6inch Full HD/ Windows 11 Home/ Black),: 6,: 12,: Windows 11 Home,: 1x Micro SD; 1x (4K @ 30Hz) HDMI; 1x Type-C (USB3.2 Gen1 / DP); 1x Type-A USB3.2 Gen1; 2x Type-A USB3.2 Gen2,14.490.000 ₫,: 8Gb (Onboard),: Không hỗ trợ,: 3200,: DDR4,: Full HD (1920x1080) ,": 15.6inch Full HD,: 324.2 x 237.7 x 18 mm",: 512GB,: M.2 NVMe PCIe,: SSD,https://www.phucanh.vn//laptop-msi-modern-15-b7m-099vn.html,": 1,7 Kg",: Intel Wi-Fi 6 AX201(2*2 ax) + BT5.1
: 3 cell,: Core i5 Alder Lake,: 12500H,: 2.5 GHz,: Blue,: 14.0inch 2.8K,: Intel Iris Xe Graphics,https://phucanhcdn.com/media/product/250_51026_may_tinh_xach_tay_asus_vivobook_14x_oled_a1403za_6.jpg,Laptop Asus Vivobook A1403ZA-KM066W (Core i5 12500H/ 8GB/ 512GB SSD/ Intel Iris Xe Graphics/ 14.0inch 2.8K/ Windows 11 Home/ Blue),: 12,: 16,: Windows 11 Home,: 2x USB 3.2 Gen 1 Type-A//1x HDMI 1.4/1x USB 3.2 Gen 1 Type-C/1x USB 2.0 Type-A,21.490.000 ₫,: 8Gb (Onboard),: 1,: 3200,: DDR4,: 2.8K (2880x1800),": 14.0inch 2.8K,: 31.71 x 22.20 x 1.99 ~ 1.99 cm",: 512GB,: M.2 NVMe PCIe,: SSD,https://www.phucanh.vn//may-tinh-xach-tay-asus-vivobook-14x-oled-a1403za-km066w.html,": 1,4 kg",: Wi-Fi 6(802.11ax)+Bluetooth 5.0 (Dual band) 2*2
: 3 cell,: Core i3 Alder Lake,: 1215U,: 1.2 GHz,: Silver,: 14.0inch Full HD,: Intel UHD Graphics,,Laptop HP 240 G9 6L1X7PA (Core i3 1215U/ 8GB/ 256GB SSD/ Intel UHD Graphics/ 14.0inch Full HD/ Windows 11 Home/ Silver/ Vỏ nhựa),: 6 Cores,: 8 Threads,: Windows 11 Home,: 2 Super Speed USB Type-A 5Gbps signaling rate; 1 SuperSpeed USB Type-C® 5Gbps signaling rate; 1 RJ-45; 1 headphone/microphone combo; 1 HDMI 1.4b; 1 AC power (HDMI cable sold separately),14.190.000 ₫,: 8Gb,: 2,: 3200,: DDR4,: Full HD (1920x1080) ,": 14.0inch Full HD,: 279 x 191 x 16.9-16.9 mm",: 256GB,: M.2 NVMe PCIe,: SSD,https://www.phucanh.vn//may-tinh-xach-tay-hp-240-g9-6l1x7pa-core-i3-1215u-8gb-256gb-ssd-intel-uhd-graphics-140inch-full-hd-windows-11-home-silver-vo-nhua.html,": 1,5 Kg",: Realtek 802.11a/b/g/n/ac (2x2) Wi-Fi® and Bluetooth® 5 wireless card
: 3 cell,: Core i5 Raptor Lake,: 1335U,: 1.3 GHz,: Black,: 14.0inch Full HD,: Intel UHD Graphics,https://phucanhcdn.com/media/product/250_50988_laptop_msi_modern_14_c13m_black_6.jpg,Laptop MSI Modern 14 C13M-458VN (Core i5 1335U/ 8GB/ 512GB SSD/ Intel UHD Graphics/ 14.0inch Full HD/ Windows 11 Home/ Black/ Vỏ nhựa),: 10 Cores,: 12 Threads,: Windows 11 Home,: 1x Type-A USB3.2 Gen22x Type-A USB2.01x HDMI™ (4K @ 30Hz)1x Micro SD,17.990.000 ₫,: 8Gb (Onboard),: Không hỗ trợ,: 3200,: DDR4,: Full HD (1920x1080) ,": 14.0inch Full HD,: 319.9 x 223 x 19.35 mm",: 512GB,: M.2 NVMe PCIe,: SSD,https://www.phucanh.vn//laptop-msi-modern-14-c13m-458vn.html,": 1,4 Kg",": Intel® Wi-Fi 6 AX201, Bluetooth v5.2"
: 3 cell,: Core i5 Raptor Lake,: 1335U,: 1.3 GHz,: Black,: 14.0inch Full HD,: Intel UHD Graphics,https://phucanhcdn.com/media/product/250_50987_laptop_msi_modern_14_c13m_black_6.jpg,Laptop MSI Modern 14 C13M-608VN (Core i5 1335U/ 16GB/ 512GB SSD/ Intel UHD Graphics/ 14.0inch Full HD/ Windows 11 Home/ Black/ Vỏ nhựa),: 10 Cores,: 12 Threads,: Windows 11 Home,: 1x Type-A USB3.2 Gen22x Type-A USB2.01x HDMI™ (4K @ 30Hz)1x Micro SD,18.490.000 ₫,: 16Gb (Onboard),: Không hỗ trợ,: 3200,: DDR4,: Full HD (1920x1080) ,": 14.0inch Full HD,: 319.9 x 223 x 19.35 mm",: 512GB,: M.2 NVMe PCIe,: SSD,https://www.phucanh.vn//laptop-msi-modern-14-c13m-608vn.html,": 1,4 Kg",": Intel® Wi-Fi 6 AX201, Bluetooth v5.2"
: 3 cell,: Core i5 Raptor Lake,: 1335U,: 1.3 GHz,: Silver,: 14.0inch Full HD,: Intel UHD Graphics,https://phucanhcdn.com/media/product/250_50986_may_tinh_xach_tay_msi_modern_14_c13m_7.jpg,Laptop MSI Modern 14 C13M-609VN (Core i5 1335U/ 8GB/ 512GB SSD/ Intel UHD Graphics/ 14.0inch Full HD/ Windows 11 Home/ Silver/ Vỏ nhựa),: 10 Cores,: 12 Threads,: Windows 11 Home,: 1x Type-A USB3.2 Gen22x Type-A USB2.01x HDMI™ (4K @ 30Hz)1x Micro SD,17.990.000 ₫,: 8Gb (Onboard),: Không hỗ trợ,: 3200,: DDR4,: Full HD (1920x1080) ,": 14.0inch Full HD,: 319.9 x 223 x 19.35 mm",: 512GB,: M.2 NVMe PCIe,: SSD,https://www.phucanh.vn//laptop-msi-modern-14-c13m-609vn.html,": 1,4 Kg",": Intel® Wi-Fi 6 AX201, Bluetooth v5.2"
: 3 cell,: Core i5 Raptor Lake,: 1335U,: 1.3 GHz,: Beige Rose,: 14.0inch Full HD,: Intel UHD Graphics,https://phucanhcdn.com/media/product/250_50985_may_tinh_xach_tay_msi_modern_14_c13m_rose_5.jpg,Laptop MSI Modern 14 C13M-610VN (Core i5 1335U/ 8GB/ 512GB SSD/ Intel UHD Graphics/ 14.0inch Full HD/ Windows 11 Home/ Beige Rose/ Vỏ nhựa),: 10 Cores,: 12 Threads,: Windows 11 Home,: 1x Type-A USB3.2 Gen22x Type-A USB2.01x HDMI™ (4K @ 30Hz)1x Micro SD,17.990.000 ₫,: 8Gb (Onboard),: Không hỗ trợ,: 3200,: DDR4,: Full HD (1920x1080) ,": 14.0inch Full HD,: 319.9 x 223 x 19.35 mm",: 512GB,: M.2 NVMe PCIe,: SSD,https://www.phucanh.vn//laptop-msi-modern-14-c13m-610vn.html,": 1,4 Kg",": Intel® Wi-Fi 6 AX201, Bluetooth v5.2"
