Name,Price,URL,ImgURL,CPU,Ram,Storage,Graphics,Display,Status
Laptop HP Pavilion 14,12890000,https://laptop88.vn/moi-100-full-box-laptop-hp-pavilion-14-dv2069tu-7c0p1pa-intel-core-i3-1215u-14-inch-full-hd.html,https://laptop88.vn/media/product/7767_ac_hp_pavilion_14_dv2069tu.jpg,i3 - 1215U,8GB DDR4,SSD 256GB,"Intel UHD Graphics
",14 Full HD,New 100%
Laptop HP Pavilion 15,15990000,https://laptop88.vn/moi-100-full-box-laptop-hp-pavilion-15-eg2083tu-7c0w9pa-intel-core-i5-1240p-15.6-inch-full-hd.html,https://laptop88.vn/media/product/pro_poster_7839.jpg,i5 - 1240P,8GB DDR4,SSD 512GB,Intel Iris Xe,15.6 Full HD ,New 100%
Laptop HP Pavilion 15,12890000,https://laptop88.vn/moi-100-full-box-laptop-hp-pavilion-15-eg2086tu-intel-core-i3-1215u-15.6-inch-full-hd.html,https://laptop88.vn/media/product/pro_poster_7837.jpg,i3 - 1215U,8GB DDR4,SSD 256GB,Intel UHD Graphics,15.6 Full HD ,New 100%
Laptop Asus TUF Dash 2022 F15 FX517ZC,20790000,https://laptop88.vn/moi-100-full-box-laptop-asus-tuf-dash-2022-f15-intel-core-i5-12450h-rtx-3050-white.html,https://laptop88.vn/media/product/pro_poster_7007.jpg,"Core i5-12450H
",8GB DDR5,SSD 512GB NVMe,Nvidia RTX 3050,15.6 Full HD 144Hz,New 100%
Laptop HP Pavilion 14,15990000,https://laptop88.vn/moi-100-full-box-laptop-hp-pavilion-14-dv2074tu-intel-core-i5-1235u-14-inch-full-hd.html,https://laptop88.vn/media/product/pro_poster_7769.jpg,i5 - 1235U,8GB DDR4,SSD 512GB NMVe,"Intel UHD Graphics
",14 Full HD,New 100%
Laptop HP Pavilion 14,14990000,https://laptop88.vn/moi-100-full-box-laptop-hp-pavilion-14-dv2077tu-intel-core-i5-1235u-14-icnh-full-hd.html,https://laptop88.vn/media/product/pro_poster_7772.jpg,i5 - 1235U,8GB DDR4,SSD 256GB NMVe,"Intel UHD Graphics
",14 Full HD,New 100%
Laptop Dell Inspiron 5310,16390000,https://laptop88.vn/moi-99-refurbished-laptop-dell-inspiron-5310-w9t21-intel-core-i5-11320h.html,https://laptop88.vn/media/product/pro_poster_7375.jpg,"Core i5 11320H
",16GB DDR4,SSD 512GB,"Intel Iris Xe Graphics
",13.3 2K,New 100%
Laptop Samsung Galaxy Book Pro 15 950XDB,15990000,https://laptop88.vn/moi-100-full-box-laptop-samsung-galaxy-book-pro-intel-core-i5.html,https://laptop88.vn/media/product/pro_poster_6975.jpg,"Core i5-1135G7
",8GB LPDDR4,SSD 512GB NVMe,"Intel Iris Xe Graphics
",15.6 Full HD AMOLED,New Outlet
Laptop HP Pavilion 14,15990000,https://laptop88.vn/moi-100-full-box-laptop-hp-pavilion-14-dv2075tu-intel-core-i5-1235u-14-inch-full-hd.html,https://laptop88.vn/media/product/pro_poster_7770.jpg,i5 - 1235U,8GB DDR4,SSD 512GB NMVe,"Intel UHD Graphics
",14 Full HD,New 100%
Laptop HP Envy X360 2 in 1 14,15990000,https://laptop88.vn/moi-100-full-box-laptop-hp-envy-x360-13-i5.html,https://laptop88.vn/media/product/pro_poster_5117.jpg,i5-1335U,8GB DDR4,SSD 512GB NVMe,Intel Iris Xe,14 Full HD Touch,New 100%
Laptop HP Pavilion 14,12890000,https://laptop88.vn/moi-100-full-box-laptop-hp-pavilion-14-dv2070tu-intel-core-i3-1215u-14-inch-full-hd.html,https://laptop88.vn/media/product/pro_poster_7768.jpg,i3 - 1215U,8GB DDR4,SSD 256GB,"Intel UHD Graphics
",14 Full HD,New 100%
Laptop Lenovo IdeaPad Gaming 3 15IAH7 82S900V3VN,19690000,https://laptop88.vn/moi-100-full-box-laptop-lenovo-ideapad-gaming-3-15iah7-82s900v3vn-intel-core-i5-12500h-rtx-3050-4gb-15.6-inch-full-hd-120hz.html,https://laptop88.vn/media/product/pro_poster_7627.jpg,i5 - 12500H,16GB DDR4,SSD 512GB NMVe,Nvidia RTX 3050,15.6 Full HD 120Hz,New 100%
Laptop ASUS TUF Gaming 2021 FX506HCB,19490000,https://laptop88.vn/moi-100-full-box-laptop-laptop-asus-tuf-gaming-2021-fa506qr-az003t-intel-core-i5.html,https://laptop88.vn/media/product/pro_poster_6646.jpg,"Core i5-11400H
",8GB DDR4,SSD 512GB NVMe,"Nvidia RTX 3050
",15.6 Full HD 144Hz,New 100%
Laptop Lenovo Legion 5 15IAH7H 82RB0048VN 2022,27990000,https://laptop88.vn/moi-100-full-box-laptop-lenovo-legion-5-15iah7h-82rb0048vn-intel-core-i5-12500h-rtx-3050ti-15.6-inch-wqhd.html,https://laptop88.vn/media/product/pro_poster_7489.jpg,i5 - 12500H,16GB DDR5,SSD 512GB NVMe,Nvidia RTX 3060,"15.6 WQHD, 165Hz",New 100%
Asus ROG Strix 2022 G15 G513RC HN038W,24690000,https://laptop88.vn/moi-100-full-box-asus-rog-strix-2022-g15-g513rc-hn038w-amd-ryzen-7-6800h-rtx-3050-4gb.html,https://laptop88.vn/media/product/pro_poster_7017.jpg,"AMD R7-6800H
",8GB DDR5,SSD 512GB NVMe,"Nvidia RTX 3050
",15.6 Full HD 144Hz,New 100%
Laptop Asus TUF Gaming F15 FX506LHB,15490000,https://laptop88.vn/moi-100-full-box-laptop-asus-tuf-gaming-f15-fx506lh-hn188w-intel-core-i5.html,https://laptop88.vn/media/product/6925__m___i_100__full_box__laptop_asus_tuf_gaming_f15_fx506lh_hn188w___intel_core_i5.png,"Core i5-10300H
",8GB DDR4 ,SSD 512GB NVMe,Geforce GTX 1650,15.6 Full HD 144Hz,New 100%
Laptop Cũ Dell Inspiron 16 5625,16690000,https://laptop88.vn/moi-100-full-box-laptop-dell-inspiron-16-5625-amd-ryzen-5-5625u-16-inch-full-hd-2022.html,https://laptop88.vn/media/product/7382_ac___laptop_dell_inspiron_16_5625___amd_ryzen_5_5625u.jpg,"R7 - 5825U
",16GB DDR4,SSD 512GB NVMe,"AMD Radeon Graphics
",16 inch Full HD+,Used
Laptop HP 250 G8 2R9H2EA,8990000,https://laptop88.vn/moi-100-full-box-laptop-hp-250-g8-intel-core-i3.html,https://laptop88.vn/media/product/6719_6518_hp_250_g8_389x8pa_1.jpg,i3 - 1005G1,4GB DDR4,SSD 256GB NVMe,Intel UHD Grapchis,15.6 inch HD,New 100%
