Product,Price,Image,Link,CPU,Ram,Storage,Graphics,Screen,Status,Weight,Battery,Brand
Dell Inspiron 7559,7900000,https://techcare.vn/wp-content/uploads/2020/02/dell-inspiron-7559-1-300x300.png,https://techcare.vn/san-pham/laptop-gaming-dell-inspiron-7559-cu-core-i5-6300hq-nvidia-geforce-gtx-960m/,Core i5-6300HQ,4GB,SSD 120GB,Nvidia GTX 960M 4GB,15.6 inch Full HD,99%,2.5 kg,,DELL
Dell Inspiron 14 7420,17600000,https://techcare.vn/wp-content/uploads/2021/07/dell-inspiron-14-7420-300x300.jpg,https://techcare.vn/san-pham/dell-inspiron-14-7420/,Core i5-1235U,8GB,SSD 512GB,Intel Iris Xe Graphics,14 inch FHD+ cảm ứng,100 %,1.57 kg (3.46 lb),4 Cell 54 Wh integrated,DELL
Dell XPS 13 9305,20500000,https://techcare.vn/wp-content/uploads/2021/11/dell-xps-13-9305-13-300x300.png,https://techcare.vn/san-pham/dell-xps-13-9305/,Core i5-1135G7,8GB,SSD 256GB,Intel Iris Xe Graphics,13.3 inch Full HD,New Outled,,52Wh,DELL
Dell Vostro 5620,16200000,https://techcare.vn/wp-content/uploads/2022/07/dell-vostro-5620-10-300x300.jpg,https://techcare.vn/san-pham/dell-vostro-5620/,Core i5-1240P,8GB,SSD 256GB,Intel Iris Xe Graphics,16.0 inch FHD+,100 %,1.91kg,4 Cell 54 Wh,DELL
Dell Inspiron 5518,16900000,https://techcare.vn/wp-content/uploads/2022/07/dell-inspiron-5518-13.png,https://techcare.vn/san-pham/dell-inspiron-5518/,Core i5-11320H,16GB,SSD 512GB,Intel Iris Xe Graphics,15.6 inch Full HD,100 %,1.75 Kg,"4 cell, 54wh",DELL
Dell Latitude 7490,6700000,https://techcare.vn/wp-content/uploads/2018/04/dell-latitude-7490-1-300x300.png,https://techcare.vn/san-pham/dell-latitude-7490/,Core i5-8250U,8GB,SSD 256GB,Intel HD Graphics 620,14 inch Full HD,99%,,4 Cell 60WHr,DELL
Asus Zenbook 14 Q409ZA,15900000,https://techcare.vn/wp-content/uploads/2021/05/asus-zenbook-14-q409za-300x300.jpg,https://techcare.vn/san-pham/asus-zenbook-14-q409za/,Core i5-1240P,8GB,SSD 256GB,Intel Iris Xe Graphics,14 inch 2.8K,100 %,1.38kg,63Wh,ASUS
Lenovo V14 G3 IAP,10900000,https://techcare.vn/wp-content/uploads/2022/08/lenovo-v14-g3-iap-9-300x300.jpg,https://techcare.vn/san-pham/lenovo-v14-g3-iap/,Core i3-1215U,4GB,SSD 256GB,Intel UHD Graphics,14 inch Full HD,100 %,1.43 kg,2 cell 38Wh,LENOVO
Dell XPS 13 9360,11900000,https://techcare.vn/wp-content/uploads/2020/06/dell-xps-13-9360-300x300.jpg,https://techcare.vn/san-pham/dell-xps-13-9360-corei5/,Core i5-7200U,8GB,SSD 256GB,Intel HD Graphics 620,13.3 inch Full HD,99%,1.29 kg,,DELL
Surface Laptop 2,10900000,https://techcare.vn/wp-content/uploads/2022/07/surface-laptop-2-300x300.jpg,https://techcare.vn/san-pham/surface-laptop-2/,Core i5-8250U,8GB,SSD 256GB,Intel HD Graphics 620,13.5 inch 2K cảm ứng,99%,"1,25kg",Sử dụng 14.5 giờ đồng hồ,MICROSOFT
