CPU,Display,Graphics,ImgURL,Name,Price,Ram,Status,Storage,URL
"
 i7-12650H 
","15.6"" Full HD 144Hz","
 NVIDIA GeForce RTX 4060
",https://laptop88.vn/media/product/8114_44961_laptop_msi_cyborg_15_a12ucx_281vn__7_.jpg,[New 100%] Laptop Gaming MSI Cyborg 15 A12VF-267VN - Intel Core i7-12650H | RTX 4060 | 15.6 inch Full HD 144Hz,28.590.000 đ,8GB DDR5,New 100%,SSD 512GB NMVe,https://laptop88.vn/new-100-laptop-gaming-msi-cyborg-15-a12vf-267vn-intel-core-i7-12650h-rtx-4060-15.6-inch-fhd.html
"
 i7-12700H
","15.6"" Full HD 144Hz",Nvidia RTX 4050 6GB,https://laptop88.vn/media/product/pro_poster_7957.jpg,[Mới 100% Full Box] Laptop ASUS TUF Gaming F15 FX507ZU4-LP520W - Intel Core i7-12700H | RTX 4050 6GB | 15.6 Inch Full HD 144Hz,31.290.000 đ,8GB DDR4,,SSD 512GB NVMe,https://laptop88.vn/moi-100-full-box-laptop-asus-tuf-gaming-f15-fx507zu4-lp520w-intel-core-i7-12700h-rtx-4050-6gb-15.6-inch-full-hd-144hz.html
"
Core i3-N305
","14"" Full HD IPS","
Intel UHD Graphics
",https://laptop88.vn/media/product/8107_a314_36m_34xh_1a_nx_kdmsm_002.jpg,[New 100%] Laptop Acer Aspire 3 A314-36M-391A | Intel Core i3 | 14 inch Full HD,11.490.000 đ,8GB ,New 100%,SSD 512GB,https://laptop88.vn/new-100-laptop-acer-aspire-3-a314-36m-391a-nx.kdmsv.002.html
"
R9 - 7940HS
","15.6"" Full HD 144Hz",Nvidia  RTX 4070 8GB,https://laptop88.vn/media/product/7958_techzones_asus_tuf_gaming_a15_fa507rm_hn018w_r7_6800h_8gb_512gb_4.jpg,[Mới 100% Full Box] Laptop ASUS TUF Gaming A15 FA507XI-LP420W - AMD Ryzen 9 - 7940HS | RTX 4070 8GB | 15.6 Inch Full HD 144Hz,45.990.000 đ,8GB DDR5,,SSD 512GB NVMe,https://laptop88.vn/moi-100-full-box-laptop-asus-tuf-gaming-a15-fa507xi-lp420w-amd-ryzen-9-7940hs-rtx-4070-8gb-15.6-inch-full-hd-144hz.html
"
R7 - 7520u
","14"" Full HD IPS","
AMD Radeon
",https://laptop88.vn/media/product/8108_,[New 100%] Laptop Acer Aspire 3 A314-23M-R4TX - R5 7520u | 14 inch Full HD IPS,12.990.000 đ,8GB ,New 100%,SSD 512GB,https://laptop88.vn/new-100-laptop-acer-aspire-3-a314-23m-r4tx-r5-7250-2023.html
"
i7-12700H
","15.6"" Full HD 144Hz",Nvidia RTX 4060 8GB,https://laptop88.vn/media/product/7956_t___i_xu___ng.jpg,[New 100%] Laptop ASUS TUF Gaming F15 FX507ZV4-LP041W - Intel Core i7 - 12700H | RTX4060 8GB | 15.6 Inch Full HD 144Hz,34.690.000 đ,8GB DDR4,New 100%,SSD 512GB NVMe,https://laptop88.vn/new-100-laptop-asus-tuf-gaming-f15-fx507zv4-lp041w-intel-core-i7-12700h-rtx4060-8gb-15.6-inch-full-hd-144hz.html
"
R7-7735HS
","15.6"" Full HD 144Hz",Nvidia RTX 4060 8GB,https://laptop88.vn/media/product/7959_techzones_asus_tuf_gaming_a15_fa507rm_hn018w_r7_6800h_8gb_512gb_4.jpg,[Mới 100% Full Box] Laptop ASUS TUF Gaming A15 FA507NV-LP046W - AMD Ryzen 7 - 7735HS | RTX™ 4060 8GB | 15.6 Inch Full HD 144Hz,32.990.000 đ,8GB DDR5,,SSD 512GB NVMe,https://laptop88.vn/moi-100-full-box-laptop-asus-tuf-gaming-a15-fa507nv-lp046w-amd-ryzen-7-7735hs-rtx-4060-8gb-15.6-inch-full-hd-144hz.html
 i7-12700H,"15.6"" FHD, 165Hz, 100% sRGB",Nvidia RTX 3050Ti,https://laptop88.vn/media/product/8105_laptop_lenovo_legion_5_15iah7_intel.png,[New 100%] Lenovo Legion 5 15IAH7 82RC0036VN | Intel Core i7-12700H | SSD 512GB | RTX 3050Ti | 15.6 inch Full HD 100% sRGB 165Hz,28.990.000 đ,8GB DDR5,New 100%,SSD 512GB NVMe,https://laptop88.vn/new-100-lenovo-legion-5-15iah7-82rc0036vn-intel-core-i7-12700h-8gb-ram-ssd-512gb-rtx-3050ti-15.6-inch-full-hd-100-srgb-165hz.html
"
i5-13450HX
","16"" WUXGA 165Hz",Nvidia RTX 4050 6GB,https://laptop88.vn/media/product/7961_015w_1.jpeg,[Mới 100% Full Box] Laptop ASUS ROG Strix G16 G614JU-N3135W - Intel Core i5 - 13450HX | RTX 4050 6GB | 16 Inch WUXGA 165Hz,36.190.000 đ,8GB DDR5,,SSD 512GB NVMe,https://laptop88.vn/moi-100-full-box-laptop-asus-rog-strix-g16-g614ju-n3135w-intel-core-i5-13450hx-rtx-4050-6gb-16-inch-wuxga-165hz.html
"
i7-13650HX
","16"" WQXGA 240Hz",Nvidia RTX 4060 8GB,https://laptop88.vn/media/product/7963_015w_1.jpeg,[Mới 100% Full Box] Laptop ASUS ROG Strix G16 G614JV-N4455W - Intel Core  i7-13650HX | RTX 4060 8GB | 16 Inch WQXGA 240Hz,47.990.000 đ,16GB DDR5,,SSD 512GB NVMe,https://laptop88.vn/moi-100-full-box-laptop-asus-rog-strix-g16-g614jv-n4455w-intel-core-i7-13650hx-rtx-4060-8gb-16-inch-wqxga-240hz.html
