CPU,Display,Graphics,Name,Price,Ram,Storage,URL
i7 - 4600U,14 Inch HD,Intel HD 4400,Laptop cũ Dell Latitude E7440 - Intel Core i7 ,Liên Hệ,4GB / 8GB,SSD 120GB,https://laptop88.vn/laptop-cu-dell-latitude-e7440-core-i7-4600u-ram-4gb-ssd-128gb-intel-hd-graphics-4400-14-hd-bao-hanh-1-nam.html
i5 - 7200U,12.5 Inch HD,Intel HD Graphics,Laptop Cũ HP Elitebook 820 G4 - Intel Core i5,Liên Hệ,8GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-hp-elitebook-820-g4-intel-core-i5.html
i5 - 6300U,14 Inch 2K,Intel HD 520,Laptop Cũ Thinkpad X1 Yoga Gen 1 - Intel Core i5,Liên Hệ,8GB LDDR3,SSD 256GB,https://laptop88.vn/laptop-thinkpad-x1-yoga-gen-1-i5-6300u.html
Core i5-4200U,"15.6"" Full HD",Intel HD Graphics 4400,Laptop Cũ Dell Latitude E3540 - Intel Core i5,Liên Hệ,4GB DDR3L,SSD 120GB,https://laptop88.vn/laptop-cu-dell-latitude-3540-core-i5.html
,,,Laptop Cũ HP Probook 645 G2 - AMD A8,Liên Hệ,,,https://laptop88.vn/laptop-cu-hp-probook-645-g2-amd-a8.html
i5 - 8250U,12.5 Inch HD,Intel HD 620,Laptop Cũ Dell Latitude 7290 - Intel Core i5,Liên Hệ,8GB DDR4,SSD 240GB,https://laptop88.vn/laptop-cu-dell-latitude-7290-intel-core-i5.html
i5 - 6200U,15.6 Inch HD,Intel HD Graphics,Laptop Cũ Lenovo Thinkpad L560 - Intel Core i5,Liên Hệ,8GB DDR3,SSD 256GB,https://laptop88.vn/laptop-cu-lenovo-thinkpad-l560-intel-core-i5.html
i5 - 6200U,13.3'' Full HD,Intel HD 520,Laptop cũ Dell XPS 13 9350 - Intel Core i5,8.690.000 đ,8GB LPDDR3,SSD 256GB,https://laptop88.vn/laptop-dell-xps-9350-intel-core-i5.html
i7 - 5600U,12.5 Inch HD,Intel HD 5500,Laptop Cũ Dell Latitude E7250 - Intel Core i7,Liên Hệ,4GB DDR3L,SSD 120GB,https://laptop88.vn/laptop-dell-latitude-e7250-i7/p3960.html
i7 - 5600U,14 Inch HD+,Intel HD 5500,Laptop Cũ Lenovo Thinkpad T450s -  Intel Core i7,Liên Hệ,8GB DDR3L,SSD 240GB,https://laptop88.vn/laptop-lenovo-thinkpad-t450s-core-i7-i7-5600u-processor-ram-8gb-ssd-256gb-intel-hd-graphics-5500m-14-inch-bao-hanh-1-nam.html
R5 - 5500U,"14"" Full HD",Radeon Graphics,Laptop Cũ Asus Zenbook Q408UG - AMD Ryzen 5-5500U | 14 inch Full HD,11.990.000 đ,8GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-asus-zenbook-q408ug-amd-ryzen-5-5500u-14-inch-full-hd.html
i3 5005u,"14"" Full HD",Intel HD 5500,Laptop Cũ Dell Latitude 3460 - Intel Core i3 | 14 inch Full HD,Liên Hệ,4GB | 8GB DDR3L,SSD 128GB,https://laptop88.vn/laptop-cu-dell-latitude-3460-intel-core-i3-14-inch-full-hd.html
i5-1035G1,"13.3"" Full HD ",Intel UHD Graphics,Laptop Cũ HP Pavilion 13-an1052tu - Intel Core i5 1035G1 | 13.3 inch Full HD,Liên Hệ,8GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-hp-pavilion-13-an1052tu-intel-core-i5-1035g1-13.3-inch-full-hd.html
i3 - 4005u,"13.3"" HD","
Intel HD 4400
",Laptop Cũ HP Probook 430 G1 - Intel Core i3,Liên Hệ,4GB LPDDR3,SSD 128GB,https://laptop88.vn/laptop-cu-hp-probook-430-g1-intel-core-i3.html
i5 - 1035G1,13.3'' Full HD,Intel UHD Graphics,Laptop Cũ HP Pavilion X360 2 in 1 - Intel Core i5,Liên Hệ,8GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-hp-pavilion-x360-2-in-1-intel-core-i5.html
"
Chip M1 10 Core
","
16 Inch Retina 4K
","
Card 32-core GPU
",Macbook Pro 16 - M1 Max 10 Core CPU 32 GPU | RAM 32GB  | SSD 1TB | 16 inch 4K 2021 Cũ,Liên Hệ,32GB,SSD 1TB,https://laptop88.vn/macbook-pro-16-m1-max-10-cpu-32-gpu-ram-32gb-ssd-1tb-16-inch-4k-2021-cu.html
i7 - 10810U,"13.3"" Full HD",Intel UHD 620,Laptop Cũ HP Elitebook X360 830 G7 2 in 1 - Intel Core i7 10810U | 13.3 Inch Full HD,Liên Hệ,8GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-hp-elitebook-x360-830-g7-2-in-1-intel-core-i7-10810u-13.3-inch-full-hd.html
i7 - 10610U,15.6 inch Full HD,Intel UHD Graphics,Laptop Cũ HP Elitebook 850 G7 - Intel Core i7-10610U | 16GB RAM | 15.6 Inch Full HD,Liên Hệ,16GB DDR4,SSD 512GB,https://laptop88.vn/laptop-cu-hp-elitebook-850-g7-intel-core-i7-10610u-16gb-ram-15.6-inch-full-hd.html
i5-9400H,"15.6"" Full HD",UHD Graphics,Laptop Cũ Dell Latitude 5501 - Intel Core i5 | 15.6 inch Full HD,Liên Hệ,8GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-dell-latitude-5501-intel-core-i5-9300h-15.6-inch-full-hd.html
i5 - 9400H,14 Inch Full HD,UHD Graphics 630,Laptop Cũ Dell Latitude 5401 - Intel Core i5-9400H | 14 inch Full HD,Liên Hệ,8GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-dell-latitude-5401-intel-core-i5-9400h-14-inch-full-hd.html
"
AMD R5-5500U
","15.6"" Full HD","
AMD Radeon Graphics
",Laptop Cũ Dell Vostro 15 5515 R1505A - AMD Ryzen 5-5500U | 15.6 Inch Full HD,Liên Hệ,8GB DDR4,SSD 256GB NVMe,https://laptop88.vn/laptop-cu-dell-vostro-15-5515-r1505a-amd-ryzen-5.html
AMD R7 - 2700U,"14"" Full HD","
AMD Radeon Vega
",Laptop Cũ HP Elitebook 745 G5 - AMD Ryzen 7,Liên Hệ,16GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-hp-elitebook-745-g5-amd-ryzen-7.html
Intel Core i7-8850H,"15.6"" Full HD",Quadro P2000 ,Laptop Cũ Workstation HP Zbook 15 G5 - Intel Core i7-8850H | Quadro P2000,Liên Hệ,16GB DDR4,SSD 512GB,https://laptop88.vn/laptop-cu-workstation-hp-zbook-15-g5-intel-core-i7-8850h-quadro-p1000.html
i7 - 8560U,"14"" Full HD",Intel UD 620,Laptop Cũ Lenovo Thinkpad T490 - Intel Core i7 ,Liên Hệ,16GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-lenovo-thinkpad-t490-intel-core-i7.html
